function	width	library	scale	nanos	min	max
log	462	decimal-scaled	28	84568	7791	15104769
log	462	decimal-scaled	37	93320	7862	17105056
log	462	decimal-scaled	152	259311	9263	17265261
log	616	decimal-scaled	17	126172	11231	14152494
log	616	decimal-scaled	28	144040	15850	15174823
log	616	decimal-scaled	37	158243	12734	12176848
log	616	decimal-scaled	152	385400	16502	12423408
log	924	decimal-scaled	17	194896	16588	6218160
log	924	decimal-scaled	28	221368	19062	12233031
log	924	decimal-scaled	37	242664	18741	9248048
log	924	decimal-scaled	152	557146	24324	12608772
log	1232	decimal-scaled	17	245402	20560	6290417
log	1232	decimal-scaled	28	280052	23385	14298653
log	1232	decimal-scaled	37	307017	26760	17334146
log	1232	decimal-scaled	152	702870	34321	12747337
log10	18	decimal-scaled	17	5278	1533	7622
log10	18	fastnum	17	3576463	401	69431181
log10	18	rust_decimal	17	9594	120	26009
log10	38	decimal-scaled	17	5389	1543	38188
log10	38	decimal-scaled	28	6470	1812	46220
log10	38	decimal-scaled	37	6750	2023	60451
log10	38	fastnum	17	3574861	410	69167338
log10	38	fastnum	28	3577735	411	74790961
log10	38	fastnum	37	3577475	451	67917598
log10	38	rust_decimal	17	9584	120	23836
log10	38	rust_decimal	28	9585	100	20862
log10	38	rust_decimal	37	9574	120	24778
log10	57	decimal-scaled	17	8092	4076	26499
log10	57	decimal-scaled	28	9104	4907	22483
log10	57	decimal-scaled	37	10115	5058	21252
log10	57	fastnum	17	3574277	350	67675507
log10	57	fastnum	28	3567783	410	67682824
log10	57	fastnum	37	3567390	350	67522279
log10	57	rust_decimal	17	9574	90	22042
log10	57	rust_decimal	28	9565	110	22684
log10	57	rust_decimal	37	9584	101	34631
log10	76	decimal-scaled	17	7374	3847	17032
log10	76	decimal-scaled	28	8346	4348	21210
log10	76	decimal-scaled	37	9418	4549	20118
log10	76	fastnum	17	3251546	371	62214826
log10	76	fastnum	28	3250575	331	61848926
log10	76	fastnum	37	3255855	461	62602965
log10	76	rust_decimal	17	9107	110	20549
log10	76	rust_decimal	28	9097	80	23384
log10	76	rust_decimal	37	9107	110	25027
log10	115	decimal-scaled	17	24856	12814	4742071
log10	115	decimal-scaled	28	27907	14296	6037988
log10	115	decimal-scaled	37	30587	15469	6047426
log10	115	fastnum	17	10045529	562	209513754
log10	115	fastnum	28	10041335	361	242300880
log10	115	fastnum	37	10037103	471	227525006
log10	115	rust_decimal	17	12173	160	4029920
log10	115	rust_decimal	28	12203	130	2029468
log10	115	rust_decimal	37	12213	140	45866
log10	153	decimal-scaled	17	23535	12268	2638928
log10	153	decimal-scaled	28	26259	13620	6049098
log10	153	decimal-scaled	37	29074	14592	7655360
log10	153	decimal-scaled	152	91357	29564	6113257
log10	153	fastnum	17	10433053	471	230100831
log10	153	fastnum	28	10423652	611	257981190
log10	153	fastnum	37	10427519	581	223416837
log10	153	fastnum	152	10437103	621	259832142
log10	153	rust_decimal	17	13200	130	1503921
log10	153	rust_decimal	28	13049	111	6032130
log10	153	rust_decimal	37	13340	130	2700956
log10	153	rust_decimal	152	13200	90	2799997
log10	230	decimal-scaled	17	23089	8266	71951
log10	230	decimal-scaled	28	26026	13520	10050923
log10	230	decimal-scaled	37	28585	14236	9041558
log10	230	decimal-scaled	152	79857	27008	12095162
log10	230	fastnum	17	8509769	222	144986272
log10	230	fastnum	28	9201565	251	156906683
log10	230	fastnum	37	9144696	214	160743740
log10	230	fastnum	152	9290056	435	173293374
log10	230	rust_decimal	17	11535	120	4024373
log10	230	rust_decimal	28	11763	100	2893664
log10	230	rust_decimal	37	11495	110	4005526
log10	230	rust_decimal	152	11756	106	4358034
log10	307	decimal-scaled	17	43285	22433	4061270
log10	307	decimal-scaled	28	47972	25508	12234729
log10	307	decimal-scaled	37	52769	27512	13070021
log10	307	decimal-scaled	152	135700	47651	15150752
log10	307	fastnum	17	10458864	581	260460260
log10	307	fastnum	28	10482257	621	201112965
log10	307	fastnum	37	10449538	541	192077591
log10	307	fastnum	152	10460527	631	245730278
log10	307	rust_decimal	17	13290	140	6033754
log10	307	rust_decimal	28	13080	140	4033217
log10	307	rust_decimal	37	13350	130	3169298
log10	307	rust_decimal	152	11888	140	6030432
log10	462	decimal-scaled	17	42524	16805	3063463
log10	462	decimal-scaled	28	48053	25378	12081045
log10	462	decimal-scaled	37	52359	26319	11068839
log10	462	decimal-scaled	152	134974	46931	12164800
log10	462	fastnum	17	10442077	621	224079800
log10	462	fastnum	28	10406392	631	230014836
log10	462	fastnum	37	10432772	621	201774684
log10	462	fastnum	152	10443157	601	190756971
log10	462	rust_decimal	17	12960	150	4431013
log10	462	rust_decimal	28	13210	140	6030431
log10	462	rust_decimal	37	13080	130	1022960
log10	462	rust_decimal	152	13009	130	6033967
log10	616	decimal-scaled	17	75171	39665	6100513
log10	616	decimal-scaled	28	81994	42540	12104599
log10	616	decimal-scaled	37	89348	45286	15116591
log10	616	decimal-scaled	152	203212	73037	15251354
log10	616	fastnum	17	10053853	631	220930986
log10	616	fastnum	28	10062479	601	175959177
log10	616	fastnum	37	10049854	551	243595739
log10	616	fastnum	152	10054403	601	182046080
log10	616	rust_decimal	17	12403	161	2028394
log10	616	rust_decimal	28	12393	120	1828077
log10	616	rust_decimal	37	12374	140	6047989
log10	616	rust_decimal	152	12373	120	32751
log10	924	decimal-scaled	17	115737	59464	9292667
log10	924	decimal-scaled	28	125984	65340	27316831
log10	924	decimal-scaled	37	137304	70138	15133723
log10	924	decimal-scaled	152	294744	110563	12325676
log10	924	fastnum	17	9931488	451	212309984
log10	924	fastnum	28	9904127	543	211957606
log10	924	fastnum	37	9928820	502	215506565
log10	924	fastnum	152	9908926	558	180127101
log10	924	rust_decimal	17	13781	124	5535361
log10	924	rust_decimal	28	13757	117	2378518
log10	924	rust_decimal	37	13862	131	6027614
log10	924	rust_decimal	152	13866	138	2033337
log10	1232	decimal-scaled	17	143010	70925	16969360
log10	1232	decimal-scaled	28	158463	80729	15165900
log10	1232	decimal-scaled	37	170972	89892	23867180
log10	1232	decimal-scaled	152	370285	145795	13406819
log10	1232	fastnum	17	10469564	621	191938664
log10	1232	fastnum	28	10458787	611	202856973
log10	1232	fastnum	37	10448312	551	258883262
log10	1232	fastnum	152	10451885	611	196353814
log10	1232	rust_decimal	17	12989	140	6303408
log10	1232	rust_decimal	28	13299	130	36483
log10	1232	rust_decimal	37	13260	130	7064696
log10	1232	rust_decimal	152	13180	131	5528453
log1p	18	decimal-scaled	17	4557	2053	36405
log1p	38	decimal-scaled	17	4527	1983	36505
log1p	38	decimal-scaled	28	4797	2073	45479
log1p	38	decimal-scaled	37	4567	2033	52229
log1p	57	decimal-scaled	17	2985	1432	22473
log1p	57	decimal-scaled	28	3084	1312	28672
log1p	57	decimal-scaled	37	3405	1282	33169
log1p	76	decimal-scaled	17	2705	1152	20618
log1p	76	decimal-scaled	28	2746	1102	25828
log1p	76	decimal-scaled	37	3055	1113	30376
log1p	115	decimal-scaled	17	9778	4027	77074
log1p	115	decimal-scaled	28	10039	4258	95628
log1p	115	decimal-scaled	37	10339	3928	112049
log1p	153	decimal-scaled	17	10165	3846	78208
log1p	153	decimal-scaled	28	9284	3875	93371
log1p	153	decimal-scaled	37	10255	3846	112890
log1p	153	decimal-scaled	152	12438	3946	482237
log1p	230	decimal-scaled	17	11023	4148	86154
log1p	230	decimal-scaled	28	10261	3552	106500
log1p	230	decimal-scaled	37	10652	3947	124890
log1p	230	decimal-scaled	152	14804	3699	4200846
log1p	307	decimal-scaled	17	20581	7852	156115
log1p	307	decimal-scaled	28	19880	7611	1622149
log1p	307	decimal-scaled	37	20721	7682	216125
log1p	307	decimal-scaled	152	30466	7421	5796740
log1p	462	decimal-scaled	17	20851	7511	2554035
log1p	462	decimal-scaled	28	19449	7482	3338829
log1p	462	decimal-scaled	37	19750	7732	4469972
log1p	462	decimal-scaled	152	31267	7582	9108086
log1p	616	decimal-scaled	17	30858	10700	2110166
log1p	616	decimal-scaled	28	26139	10279	3933806
log1p	616	decimal-scaled	37	28563	10119	203052
log1p	616	decimal-scaled	152	41969	10189	15081164
log1p	924	decimal-scaled	17	45952	13601	1141558
log1p	924	decimal-scaled	28	43947	13694	387994
log1p	924	decimal-scaled	37	41300	13545	9058277
log1p	924	decimal-scaled	152	63056	13827	6388871
log1p	1232	decimal-scaled	17	58216	17736	382253
log1p	1232	decimal-scaled	28	60249	17836	4400282
log1p	1232	decimal-scaled	37	55742	16915	7175425
log1p	1232	decimal-scaled	152	87729	19028	12486463
log2	18	decimal-scaled	17	6219	1632	17938
log2	18	fastnum	17	3572838	230	67794998
log2	38	decimal-scaled	17	5458	1593	41132
log2	38	decimal-scaled	28	6660	1943	52088
log2	38	decimal-scaled	37	8598	2433	19510
log2	38	fastnum	17	3574350	220	67679939
log2	38	fastnum	28	3573804	240	67655409
log2	38	fastnum	37	3571246	210	69504880
log2	57	decimal-scaled	17	8302	1653	18287
log2	57	decimal-scaled	28	9294	1722	26910
log2	57	decimal-scaled	37	10195	1832	28622
log2	57	fastnum	17	3569134	230	67674503
log2	57	fastnum	28	3571822	220	67701685
log2	57	fastnum	37	3571392	231	67654684
log2	76	decimal-scaled	17	7604	1623	31249
log2	76	decimal-scaled	28	8446	1683	21039
log2	76	decimal-scaled	37	9558	1774	22312
log2	76	fastnum	17	3255308	230	62023372
log2	76	fastnum	28	3248720	240	61866248
log2	76	fastnum	37	3251844	231	61855192
log2	115	decimal-scaled	17	25548	5009	3468605
log2	115	decimal-scaled	28	28012	3356	3054670
log2	115	decimal-scaled	37	30948	5350	6050312
log2	115	fastnum	17	10024996	341	225029394
log2	115	fastnum	28	10047660	310	205895616
log2	115	fastnum	37	10037282	341	191592243
log2	153	decimal-scaled	17	24072	4827	4048946
log2	153	decimal-scaled	28	26670	4336	8050589
log2	153	decimal-scaled	37	29615	5228	10046966
log2	153	decimal-scaled	152	93701	39029	6106497
log2	153	fastnum	17	10444864	300	230188881
log2	153	fastnum	28	10454545	310	210374024
log2	153	fastnum	37	10441478	280	236375286
log2	153	fastnum	152	10414536	320	188206142
log2	230	decimal-scaled	17	28027	5531	2814019
log2	230	decimal-scaled	28	26272	4862	8036473
log2	230	decimal-scaled	37	31570	5494	9041491
log2	230	decimal-scaled	152	81604	5794	12125581
log2	230	fastnum	17	9294977	423	166563393
log2	230	fastnum	28	9219830	416	191407977
log2	230	fastnum	37	9126296	404	166837509
log2	230	fastnum	152	8811284	412	153134569
log2	307	decimal-scaled	17	44287	9705	3077520
log2	307	decimal-scaled	28	48533	10276	13063005
log2	307	decimal-scaled	37	53100	10056	11066207
log2	307	decimal-scaled	152	137567	11948	15149160
log2	307	fastnum	17	10477373	280	188810232
log2	307	fastnum	28	10459944	321	230895084
log2	307	fastnum	37	10453745	311	193815956
log2	307	fastnum	152	10468730	320	197457602
log2	462	decimal-scaled	17	44092	9935	3063092
log2	462	decimal-scaled	28	48583	10296	12065682
log2	462	decimal-scaled	37	53030	10656	17070577
log2	462	decimal-scaled	152	137682	11877	15163386
log2	462	fastnum	17	10438000	321	212638183
log2	462	fastnum	28	10440879	291	222392117
log2	462	fastnum	37	10460181	300	225795111
log2	462	fastnum	152	10447659	300	233371830
log2	616	decimal-scaled	17	78578	15920	6525512
log2	616	decimal-scaled	28	83136	18405	12112323
log2	616	decimal-scaled	37	90340	18655	12140646
log2	616	decimal-scaled	152	205867	21170	12263684
log2	616	fastnum	17	10032623	341	224681637
log2	616	fastnum	28	10055602	360	194628183
log2	616	fastnum	37	10050627	321	193559019
log2	616	fastnum	152	10044752	351	215019208
log2	924	decimal-scaled	17	118283	24783	8160251
log2	924	decimal-scaled	28	127600	25972	12158884
log2	924	decimal-scaled	37	137868	26511	12170723
log2	924	decimal-scaled	152	297587	29889	12331075
log2	924	fastnum	17	9891370	414	199360904
log2	924	fastnum	28	9939650	342	193380937
log2	924	fastnum	37	9904061	487	193441872
log2	924	fastnum	152	9909244	461	193910124
log2	1232	decimal-scaled	17	150892	33830	6157471
log2	1232	decimal-scaled	28	160962	34951	15096238
log2	1232	decimal-scaled	37	173721	36654	15115778
log2	1232	decimal-scaled	152	374402	40940	13353711
log2	1232	fastnum	17	10489968	330	250764054
log2	1232	fastnum	28	10470374	311	218435175
log2	1232	fastnum	37	10441872	321	260890534
log2	1232	fastnum	152	10475410	310	202467450
mul	18	decimal-rs	17	100	50	180
mul	18	decimal-scaled	17	50	50	60
mul	18	fastnum	17	121	110	260
mul	18	g_math	17	561	370	7521
mul	18	rust_decimal	17	50	30	180
mul	38	decimal-rs	17	90	50	201
mul	38	decimal-rs	28	96	50	191
mul	38	decimal-rs	37	96	50	190
mul	38	decimal-scaled	17	70	60	100
mul	38	decimal-scaled	28	70	60	91
mul	38	decimal-scaled	37	70	60	90
mul	38	fastnum	17	121	110	301
mul	38	fastnum	28	121	110	251
mul	38	fastnum	37	120	110	251
mul	38	g_math	17	550	330	7431
mul	38	g_math	28	571	311	7421
mul	38	g_math	37	570	341	7491
mul	38	rust_decimal	17	50	30	221
mul	38	rust_decimal	28	50	30	161
mul	38	rust_decimal	37	40	30	170
mul	57	decimal-rs	17	80	50	181
mul	57	decimal-rs	28	90	40	190
mul	57	decimal-rs	37	90	50	190
mul	57	decimal-scaled	17	80	60	110
mul	57	decimal-scaled	28	90	70	150
mul	57	decimal-scaled	37	100	80	130
mul	57	fastnum	17	121	110	281
mul	57	fastnum	28	121	110	261
mul	57	fastnum	37	130	110	351
mul	57	g_math	17	530	330	7371
mul	57	g_math	28	556	321	7261
mul	57	g_math	37	536	320	7340
mul	57	rust_decimal	17	40	30	200
mul	57	rust_decimal	28	45	30	230
mul	57	rust_decimal	37	40	30	260
mul	76	decimal-rs	17	71	40	140
mul	76	decimal-rs	28	76	40	140
mul	76	decimal-rs	37	76	40	141
mul	76	decimal-scaled	17	80	60	121
mul	76	decimal-scaled	28	80	69	140
mul	76	decimal-scaled	37	80	70	130
mul	76	fastnum	17	130	110	842
mul	76	fastnum	28	130	110	240
mul	76	fastnum	37	130	120	301
mul	76	g_math	17	551	350	7384
mul	76	g_math	28	551	301	7314
mul	76	g_math	37	541	321	7354
mul	76	rust_decimal	17	40	29	170
mul	76	rust_decimal	28	40	30	150
mul	76	rust_decimal	37	40	29	160
mul	115	decimal-rs	17	100	40	350
mul	115	decimal-rs	28	100	50	401
mul	115	decimal-rs	37	100	40	351
mul	115	decimal-scaled	17	156	110	301
mul	115	decimal-scaled	28	160	110	321
mul	115	decimal-scaled	37	160	131	271
mul	115	fastnum	17	261	130	22111
mul	115	fastnum	28	256	151	521
mul	115	fastnum	37	210	130	441
mul	115	g_math	17	886	471	12783
mul	115	g_math	28	872	481	13054
mul	115	g_math	37	837	451	10900
mul	115	rust_decimal	17	66	40	2965
mul	115	rust_decimal	28	60	40	270
mul	115	rust_decimal	37	65	40	251
mul	153	decimal-rs	17	100	50	350
mul	153	decimal-rs	28	100	50	380
mul	153	decimal-rs	37	100	50	390
mul	153	decimal-rs	152	100	50	491
mul	153	decimal-scaled	17	180	110	250
mul	153	decimal-scaled	28	171	130	490
mul	153	decimal-scaled	37	180	140	370
mul	153	decimal-scaled	152	681	470	852
mul	153	fastnum	17	200	161	481
mul	153	fastnum	28	190	151	520
mul	153	fastnum	37	190	160	500
mul	153	fastnum	152	200	140	500
mul	153	g_math	17	836	450	11727
mul	153	g_math	28	812	470	15133
mul	153	g_math	37	826	481	8423
mul	153	g_math	152	807	461	15043
mul	153	rust_decimal	17	60	40	241
mul	153	rust_decimal	28	60	40	261
mul	153	rust_decimal	37	60	40	230
mul	153	rust_decimal	152	60	40	250
mul	230	decimal-rs	17	81	42	815
mul	230	decimal-rs	28	84	44	289
mul	230	decimal-rs	37	81	45	359
mul	230	decimal-rs	152	84	53	294
mul	230	decimal-scaled	17	206	83	781
mul	230	decimal-scaled	28	236	159	594
mul	230	decimal-scaled	37	244	165	524
mul	230	decimal-scaled	152	800	504	2340
mul	230	fastnum	17	188	106	374
mul	230	fastnum	28	192	125	353
mul	230	fastnum	37	187	122	1332
mul	230	fastnum	152	184	118	1240
mul	230	g_math	17	678	351	11136
mul	230	g_math	28	768	376	10953
mul	230	g_math	37	710	349	5126
mul	230	g_math	152	756	375	22129
mul	230	rust_decimal	17	56	35	335
mul	230	rust_decimal	28	56	36	227
mul	230	rust_decimal	37	66	45	488
mul	230	rust_decimal	152	58	31	298
mul	307	decimal-rs	17	100	60	401
mul	307	decimal-rs	28	110	50	381
mul	307	decimal-rs	37	100	50	371
mul	307	decimal-rs	152	100	50	370
mul	307	decimal-scaled	17	356	180	811
mul	307	decimal-scaled	28	366	210	701
mul	307	decimal-scaled	37	346	210	1071
mul	307	decimal-scaled	152	836	551	1352
mul	307	fastnum	17	200	151	521
mul	307	fastnum	28	200	140	641
mul	307	fastnum	37	200	160	580
mul	307	fastnum	152	200	150	531
mul	307	g_math	17	866	471	8433
mul	307	g_math	28	821	470	12608
mul	307	g_math	37	856	461	12569
mul	307	g_math	152	791	471	12428
mul	307	rust_decimal	17	60	40	240
mul	307	rust_decimal	28	60	40	230
mul	307	rust_decimal	37	60	40	411
mul	307	rust_decimal	152	60	40	291
mul	462	decimal-rs	17	100	60	311
mul	462	decimal-rs	28	100	50	461
mul	462	decimal-rs	37	100	50	300
mul	462	decimal-rs	152	100	50	351
mul	462	decimal-scaled	17	561	220	1301
mul	462	decimal-scaled	28	541	261	1222
mul	462	decimal-scaled	37	506	280	1382
mul	462	decimal-scaled	152	1092	611	2083
mul	462	fastnum	17	200	151	591
mul	462	fastnum	28	191	151	490
mul	462	fastnum	37	191	120	581
mul	462	fastnum	152	191	140	471
mul	462	g_math	17	816	471	11076
mul	462	g_math	28	866	481	14182
mul	462	g_math	37	866	510	8072
mul	462	g_math	152	836	471	8403
mul	462	rust_decimal	17	66	40	280
mul	462	rust_decimal	28	70	40	250
mul	462	rust_decimal	37	70	40	231
mul	462	rust_decimal	152	60	40	241
mul	616	decimal-rs	17	100	60	491
mul	616	decimal-rs	28	100	40	471
mul	616	decimal-rs	37	110	50	401
mul	616	decimal-rs	152	106	50	360
mul	616	decimal-scaled	17	731	271	1713
mul	616	decimal-scaled	28	597	330	36128
mul	616	decimal-scaled	37	646	320	1743
mul	616	decimal-scaled	152	1272	682	2755
mul	616	fastnum	17	201	141	591
mul	616	fastnum	28	230	180	611
mul	616	fastnum	37	230	130	552
mul	616	fastnum	152	211	140	581
mul	616	g_math	17	866	350	7595
mul	616	g_math	28	806	341	12634
mul	616	g_math	37	862	461	13495
mul	616	g_math	152	897	481	46727
mul	616	rust_decimal	17	60	40	461
mul	616	rust_decimal	28	60	50	481
mul	616	rust_decimal	37	70	50	300
mul	616	rust_decimal	152	60	40	241
mul	924	decimal-rs	17	105	62	376
mul	924	decimal-rs	28	100	54	363
mul	924	decimal-rs	37	104	58	357
mul	924	decimal-rs	152	104	56	381
mul	924	decimal-scaled	17	1006	421	2871
mul	924	decimal-scaled	28	1004	347	2863
mul	924	decimal-scaled	37	984	457	2920
mul	924	decimal-scaled	152	1814	856	5707
mul	924	fastnum	17	228	120	11757
mul	924	fastnum	28	232	121	556
mul	924	fastnum	37	226	148	394
mul	924	fastnum	152	228	145	392
mul	924	g_math	17	872	399	8567
mul	924	g_math	28	876	474	7988
mul	924	g_math	37	765	296	8347
mul	924	g_math	152	878	417	5026
mul	924	rust_decimal	17	70	48	311
mul	924	rust_decimal	28	65	33	272
mul	924	rust_decimal	37	70	36	293
mul	924	rust_decimal	152	68	37	228
mul	1232	decimal-rs	17	100	50	351
mul	1232	decimal-rs	28	100	50	671
mul	1232	decimal-rs	37	105	50	350
mul	1232	decimal-rs	152	100	50	411
mul	1232	decimal-scaled	17	1482	550	5358
mul	1232	decimal-scaled	28	1296	651	5849
mul	1232	decimal-scaled	37	1332	631	5438
mul	1232	decimal-scaled	152	2594	911	6299
mul	1232	fastnum	17	200	130	481
mul	1232	fastnum	28	200	150	580
mul	1232	fastnum	37	200	170	511
mul	1232	fastnum	152	200	160	531
mul	1232	g_math	17	811	500	12659
mul	1232	g_math	28	846	480	7762
mul	1232	g_math	37	801	470	9554
mul	1232	g_math	152	882	450	7902
mul	1232	rust_decimal	17	60	40	220
mul	1232	rust_decimal	28	60	40	200
mul	1232	rust_decimal	37	60	40	231
mul	1232	rust_decimal	152	60	40	230
powf	18	decimal-rs	17	14557	40	27772
powf	18	decimal-scaled	17	6755	50	10787
powf	18	fastnum	17	5274232	181	69302933
powf	18	g_math	17	351341	381	592925
powf	18	rust_decimal	17	11978	30	25278
powf	38	decimal-rs	17	14537	40	42103
powf	38	decimal-rs	28	14557	40	28393
powf	38	decimal-rs	37	14557	30	34733
powf	38	decimal-scaled	17	6776	50	24787
powf	38	decimal-scaled	28	9560	50	82835
powf	38	decimal-scaled	37	11342	60	14672
powf	38	fastnum	17	5270542	180	72176211
powf	38	fastnum	28	5268204	220	71690645
powf	38	fastnum	37	5269316	191	69291528
powf	38	g_math	17	350870	380	563221
powf	38	g_math	28	353404	381	596251
powf	38	g_math	37	352012	390	574408
powf	38	rust_decimal	17	11968	30	25328
powf	38	rust_decimal	28	11998	30	34342
powf	38	rust_decimal	37	11988	30	28353
powf	57	decimal-rs	17	14561	30	39268
powf	57	decimal-rs	28	14572	30	28712
powf	57	decimal-rs	37	14582	30	27010
powf	57	decimal-scaled	17	12273	80	23554
powf	57	decimal-scaled	28	15453	140	39708
powf	57	decimal-scaled	37	17490	150	41441
powf	57	fastnum	17	5268186	181	69267948
powf	57	fastnum	28	5262966	211	69093395
powf	57	fastnum	37	5259534	201	69199421
powf	57	g_math	17	351799	390	543771
powf	57	g_math	28	350147	381	565605
powf	57	g_math	37	352039	380	619414
powf	57	rust_decimal	17	11957	30	27149
powf	57	rust_decimal	28	12008	30	26269
powf	57	rust_decimal	37	11947	30	35672
powf	76	decimal-rs	17	13325	29	26409
powf	76	decimal-rs	28	13320	30	25367
powf	76	decimal-rs	37	13325	30	32801
powf	76	decimal-scaled	17	11226	90	24646
powf	76	decimal-scaled	28	13986	160	42219
powf	76	decimal-scaled	37	15730	170	44192
powf	76	fastnum	17	4784873	201	63110211
powf	76	fastnum	28	4782264	191	63118814
powf	76	fastnum	37	4786145	200	63953078
powf	76	g_math	17	363952	371	545751
powf	76	g_math	28	362409	381	568695
powf	76	g_math	37	363761	380	670846
powf	76	rust_decimal	17	11231	29	26369
powf	76	rust_decimal	28	11231	30	28994
powf	76	rust_decimal	37	11302	29	34755
powf	115	decimal-rs	17	16956	50	6325966
powf	115	decimal-rs	28	16926	49	2045989
powf	115	decimal-rs	37	16947	40	4476260
powf	115	decimal-scaled	17	38126	260	5180139
powf	115	decimal-scaled	28	47528	400	6070761
powf	115	decimal-scaled	37	52839	420	12091966
powf	115	fastnum	17	12008732	240	206073163
powf	115	fastnum	28	11992685	221	192916557
powf	115	fastnum	37	12020664	221	188127813
powf	115	g_math	17	704655	511	15925912
powf	115	g_math	28	708152	511	9944142
powf	115	g_math	37	701128	510	9836093
powf	115	rust_decimal	17	15289	40	4033056
powf	115	rust_decimal	28	15219	40	2039948
powf	115	rust_decimal	37	15098	41	6028430
powf	153	decimal-rs	17	18433	40	6725258
powf	153	decimal-rs	28	18402	40	2809284
powf	153	decimal-rs	37	18338	40	6046957
powf	153	decimal-rs	152	18358	40	6933684
powf	153	decimal-scaled	17	36229	261	3026345
powf	153	decimal-scaled	28	45198	400	10067943
powf	153	decimal-scaled	37	51062	390	12066843
powf	153	decimal-scaled	152	155860	400	6186569
powf	153	fastnum	17	12641394	280	208234100
powf	153	fastnum	28	13219652	271	218302828
powf	153	fastnum	37	12709718	301	226949684
powf	153	fastnum	152	12733120	270	246837846
powf	153	g_math	17	722817	481	12785982
powf	153	g_math	28	719892	481	15745795
powf	153	g_math	37	718800	470	15700800
powf	153	g_math	152	716459	490	9944491
powf	153	rust_decimal	17	15934	40	3041484
powf	153	rust_decimal	28	15974	40	2322848
powf	153	rust_decimal	37	16144	40	6343782
powf	153	rust_decimal	152	16115	40	3450136
powf	230	decimal-rs	17	14214	48	6022320
powf	230	decimal-rs	28	14910	47	5947332
powf	230	decimal-rs	37	14240	47	2276283
powf	230	decimal-rs	152	14688	39	3028916
powf	230	decimal-scaled	17	36658	304	822946
powf	230	decimal-scaled	28	46736	395	9293012
powf	230	decimal-scaled	37	56548	445	15062648
powf	230	decimal-scaled	152	144663	413	12208072
powf	230	fastnum	17	10898746	158	165211505
powf	230	fastnum	28	10887919	187	213200211
powf	230	fastnum	37	10929608	202	157995776
powf	230	fastnum	152	10925018	275	174564773
powf	230	g_math	17	359840	360	9480785
powf	230	g_math	28	361196	372	9447331
powf	230	g_math	37	351173	376	9482122
powf	230	g_math	152	358155	367	12351519
powf	230	rust_decimal	17	14393	34	5322062
powf	230	rust_decimal	28	14162	35	6557457
powf	230	rust_decimal	37	14405	40	6019291
powf	230	rust_decimal	152	14354	33	6066191
powf	307	decimal-rs	17	18363	50	4923655
powf	307	decimal-rs	28	18483	40	4030052
powf	307	decimal-rs	37	18412	50	6888322
powf	307	decimal-rs	152	18382	40	7301504
powf	307	decimal-scaled	17	70080	481	6109290
powf	307	decimal-scaled	28	88518	571	12133027
powf	307	decimal-scaled	37	99740	601	12155685
powf	307	decimal-scaled	152	255229	651	14338171
powf	307	fastnum	17	13567044	271	227321679
powf	307	fastnum	28	12691992	290	305233512
powf	307	fastnum	37	12863706	290	218910041
powf	307	fastnum	152	13030848	280	221283697
powf	307	g_math	17	723929	471	15976006
powf	307	g_math	28	727043	471	10734216
powf	307	g_math	37	726863	480	15000546
powf	307	g_math	152	724590	481	12996101
powf	307	rust_decimal	17	16044	40	5527893
powf	307	rust_decimal	28	16004	40	2386760
powf	307	rust_decimal	37	16044	50	5914087
powf	307	rust_decimal	152	16054	40	6606648
powf	462	decimal-rs	17	18478	40	6416823
powf	462	decimal-rs	28	18422	40	6871178
powf	462	decimal-rs	37	18413	50	41122
powf	462	decimal-rs	152	18408	40	6040215
powf	462	decimal-scaled	17	71112	742	6123089
powf	462	decimal-scaled	28	96496	951	12138852
powf	462	decimal-scaled	37	108263	721	15141869
powf	462	decimal-scaled	152	266546	981	12328927
powf	462	fastnum	17	12843583	280	202124457
powf	462	fastnum	28	14700824	240	196249434
powf	462	fastnum	37	12784858	280	202317361
powf	462	fastnum	152	14851927	291	241175203
powf	462	g_math	17	730741	491	12714098
powf	462	g_math	28	732694	490	12975059
powf	462	g_math	37	724450	480	9003890
powf	462	g_math	152	732423	480	12761397
powf	462	rust_decimal	17	16054	40	7910423
powf	462	rust_decimal	28	16064	40	6030902
powf	462	rust_decimal	37	16075	40	5612902
powf	462	rust_decimal	152	16264	40	2059912
powf	616	decimal-rs	17	17037	50	6035739
powf	616	decimal-rs	28	17012	40	6041459
powf	616	decimal-rs	37	17027	40	6031609
powf	616	decimal-rs	152	17072	40	4336472
powf	616	decimal-scaled	17	120272	951	12250100
powf	616	decimal-scaled	28	183900	1202	12285850
powf	616	decimal-scaled	37	201214	1202	12304478
powf	616	decimal-scaled	152	415456	1223	14425232
powf	616	fastnum	17	12014435	301	238101815
powf	616	fastnum	28	12011833	291	188952552
powf	616	fastnum	37	12019238	291	184673140
powf	616	fastnum	152	12027436	331	212448290
powf	616	g_math	17	702180	501	14537634
powf	616	g_math	28	699595	491	12846603
powf	616	g_math	37	702360	501	15636784
powf	616	g_math	152	712810	501	7671590
powf	616	rust_decimal	17	15309	40	5573108
powf	616	rust_decimal	28	15279	50	2034815
powf	616	rust_decimal	37	15379	41	6031167
powf	616	rust_decimal	152	15420	50	4037785
powf	924	decimal-rs	17	16515	53	8029801
powf	924	decimal-rs	28	16538	47	3027424
powf	924	decimal-rs	37	16508	56	6030599
powf	924	decimal-rs	152	16530	57	4186660
