op	width	scale	prod_ns	branch_ns	delta_ns	delta_pct	ratio
mul	D115	0	13.118	13.450	0.332	2.527	1.0253
cos	D616	308	120219.757	123202.591	2982.834	2.481	1.0248
tan	D76	57	8603.413	8812.527	209.114	2.431	1.0243
ln	D924	462	2688.350	2753.492	65.142	2.423	1.0242
atanh	D616	462	554203.397	567609.665	13406.268	2.419	1.0242
atanh	D1232	616	886243.649	907516.780	21273.132	2.400	1.0240
mul	D616	462	2648.115	2711.143	63.028	2.380	1.0238
log	D616	0	23070.406	23619.216	548.810	2.379	1.0238
acos	D38	0	4200.539	4299.949	99.410	2.367	1.0237
hypot	D76	19	48.808	49.962	1.153	2.363	1.0236
to_radians	D76	19	213.763	218.758	4.995	2.337	1.0234
log	D230	57	12586.715	12880.447	293.732	2.334	1.0233
cos	D76	57	6790.113	6948.385	158.273	2.331	1.0233
add	D57	28	1.508	1.543	0.035	2.322	1.0232
sqrt	D18	0	6.239	6.383	0.144	2.314	1.0231
atan	D616	154	54345.481	55580.814	1235.333	2.273	1.0227
log	D153	152	10425.635	10659.629	233.994	2.244	1.0224
to_degrees	D115	28	287.933	294.390	6.457	2.242	1.0224
hypot	D18	0	16.383	16.749	0.366	2.233	1.0223
cos	D153	76	6983.561	7139.481	155.920	2.233	1.0223
cos	D616	154	29721.082	30380.581	659.499	2.219	1.0222
atanh	D153	0	1087.913	1112.053	24.140	2.219	1.0222
acos	D38	9	4981.497	5091.600	110.103	2.210	1.0221
asinh	D115	0	13.708	14.009	0.301	2.196	1.0220
asin	D616	0	4312.127	4406.631	94.505	2.192	1.0219
ln	D76	0	270.254	276.146	5.892	2.180	1.0218
asin	D38	0	4140.850	4230.137	89.287	2.156	1.0216
acos	D57	14	7884.064	8052.935	168.871	2.142	1.0214
powf	D57	42	3757.227	3837.381	80.154	2.133	1.0213
exp	D616	462	260404.733	265923.260	5518.527	2.119	1.0212
log	D230	115	14625.666	14934.849	309.183	2.114	1.0211
atanh	D153	152	48339.537	49357.923	1018.387	2.107	1.0211
tanh	D76	0	2926.940	2988.470	61.529	2.102	1.0210
tanh	D616	308	131976.909	134741.600	2764.691	2.095	1.0209
acos	D616	308	202304.824	206501.562	4196.738	2.074	1.0207
mul	D153	152	348.144	355.322	7.178	2.062	1.0206
ln	D230	57	703.497	717.936	14.439	2.052	1.0205
mul	D115	28	25.094	25.608	0.514	2.047	1.0205
cbrt	D57	28	479.325	488.928	9.603	2.003	1.0200
asin	D38	9	4964.976	5063.489	98.513	1.984	1.0198
tanh	D616	462	267207.508	272504.389	5296.881	1.982	1.0198
sinh	D616	308	130647.723	133218.705	2570.982	1.968	1.0197
acosh	D616	462	311240.679	317358.393	6117.714	1.966	1.0197
to_degrees	D616	462	3965.810	4043.587	77.777	1.961	1.0196
div	D57	0	34.828	35.510	0.682	1.959	1.0196
ln	D76	38	365.340	372.474	7.134	1.953	1.0195
acosh	D76	0	3628.847	3699.589	70.741	1.949	1.0195
sqrt	D616	308	10423.027	10625.991	202.964	1.947	1.0195
ln	D153	114	938.209	956.217	18.008	1.919	1.0192
asinh	D153	0	16.508	16.824	0.316	1.915	1.0192
to_radians	D115	0	561.676	572.422	10.746	1.913	1.0191
sin	D57	28	3007.735	3064.699	56.964	1.894	1.0189
atanh	D616	308	290380.182	295861.088	5480.906	1.887	1.0189
sqrt	D57	28	322.276	328.353	6.077	1.886	1.0189
ln	D1232	616	2813.004	2865.864	52.860	1.879	1.0188
atan	D616	308	186926.246	190430.257	3504.011	1.875	1.0187
add	D924	923	65.841	67.074	1.233	1.873	1.0187
cosh	D616	462	264682.851	269631.094	4948.243	1.869	1.0187
rem	D616	0	78.392	79.816	1.424	1.817	1.0182
acosh	D76	57	7549.930	7686.308	136.378	1.806	1.0181
log	D462	115	25214.290	25668.674	454.384	1.802	1.0180
atanh	D230	57	24220.696	24655.697	435.001	1.796	1.0180
log	D153	0	7610.577	7746.715	136.138	1.789	1.0179
sqrt	D616	462	14108.843	14361.076	252.234	1.788	1.0179
acosh	D616	308	167044.997	170022.801	2977.803	1.783	1.0178
to_radians	D57	0	269.961	274.772	4.811	1.782	1.0178
div	D57	56	101.880	103.679	1.799	1.766	1.0177
cosh	D616	308	130539.773	132840.633	2300.860	1.763	1.0176
