op	width	scale	prod_ns	branch_ns	delta_ns	delta_pct	ratio
atanh	D57	56	10978.439	11041.131	62.692	0.571	1.0057
log	D924	231	59203.525	59539.020	335.495	0.567	1.0057
powf	D616	308	322204.866	324029.924	1825.058	0.566	1.0057
sinh	D230	229	83320.519	83792.248	471.729	0.566	1.0057
powf	D307	306	34811.320	35008.212	196.892	0.566	1.0057
add	D924	462	75.848	76.277	0.429	0.566	1.0057
hypot	D230	115	1355.738	1363.405	7.667	0.566	1.0057
tanh	D230	172	39497.449	39720.218	222.769	0.564	1.0056
sin	D18	4	3831.206	3852.680	21.474	0.561	1.0056
sin	D462	461	231001.464	232296.131	1294.667	0.560	1.0056
powf	D115	0	137.489	138.259	0.770	0.560	1.0056
atan	D616	615	660061.679	663743.446	3681.768	0.558	1.0056
cosh	D462	461	247442.727	248822.190	1379.463	0.557	1.0056
tanh	D462	461	248870.770	250251.735	1380.965	0.555	1.0055
sinh	D57	28	5093.066	5121.268	28.203	0.554	1.0055
to_radians	D462	346	3530.185	3549.696	19.511	0.553	1.0055
sub	D115	114	5.538	5.569	0.030	0.551	1.0055
to_radians	D924	923	8472.681	8519.208	46.527	0.549	1.0055
atan	D18	17	3190.556	3208.005	17.449	0.547	1.0055
add	D616	308	44.978	45.224	0.246	0.547	1.0055
tanh	D153	0	2847.834	2863.397	15.562	0.546	1.0055
add	D616	0	50.108	50.380	0.272	0.543	1.0054
ln	D616	154	1335.651	1342.903	7.252	0.543	1.0054
cos	D18	4	3955.837	3977.310	21.473	0.543	1.0054
div	D76	0	41.058	41.281	0.222	0.542	1.0054
exp	D230	57	13347.261	13419.334	72.073	0.540	1.0054
cbrt	D57	56	1149.429	1155.613	6.184	0.538	1.0054
atan	D115	114	39172.763	39382.094	209.332	0.534	1.0053
sqrt	D153	0	124.535	125.186	0.650	0.522	1.0052
add	D76	19	1.554	1.563	0.008	0.521	1.0052
tan	D115	28	3183.677	3200.139	16.462	0.517	1.0052
mul	D18	0	0.881	0.885	0.005	0.516	1.0052
add	D307	230	19.499	19.599	0.100	0.514	1.0051
sinh	D230	172	39019.219	39219.903	200.684	0.514	1.0051
ln	D462	0	1121.957	1127.726	5.769	0.514	1.0051
to_radians	D616	615	6788.109	6822.341	34.232	0.504	1.0050
cosh	D924	231	74769.001	75144.621	375.621	0.502	1.0050
asinh	D462	461	335737.729	337405.113	1667.384	0.497	1.0050
exp	D230	229	81984.224	82390.193	405.968	0.495	1.0050
tanh	D924	231	76975.780	77356.716	380.936	0.495	1.0049
div	D1232	308	1696.218	1704.595	8.377	0.494	1.0049
asin	D57	42	12216.638	12276.911	60.273	0.493	1.0049
acos	D230	57	25875.130	26002.567	127.437	0.493	1.0049
sqrt	D57	56	764.644	768.390	3.746	0.490	1.0049
exp	D230	0	51.087	51.336	0.250	0.489	1.0049
rem	D230	0	32.252	32.409	0.157	0.486	1.0049
ln	D230	229	1787.524	1796.213	8.689	0.486	1.0049
div	D153	76	106.630	107.148	0.518	0.485	1.0049
atan	D76	75	14935.827	15008.014	72.187	0.483	1.0048
asinh	D76	75	11612.914	11668.435	55.521	0.478	1.0048
to_degrees	D924	231	2367.975	2379.243	11.268	0.476	1.0048
powf	D462	461	280426.301	281756.318	1330.018	0.474	1.0047
add	D230	229	15.335	15.407	0.073	0.474	1.0047
add	D76	75	2.693	2.705	0.013	0.469	1.0047
powf	D230	229	22247.979	22352.027	104.048	0.468	1.0047
cosh	D76	19	3511.564	3527.946	16.382	0.467	1.0047
ln	D307	153	1138.786	1144.075	5.290	0.464	1.0046
add	D307	153	19.513	19.604	0.090	0.464	1.0046
sqrt	D616	0	256.660	257.846	1.185	0.462	1.0046
add	D76	57	3.084	3.098	0.014	0.461	1.0046
to_radians	D115	57	808.529	812.185	3.657	0.452	1.0045
acos	D153	76	21046.898	21141.447	94.549	0.449	1.0045
sinh	D153	114	22485.479	22585.259	99.780	0.444	1.0044
div	D616	615	2359.316	2369.756	10.440	0.443	1.0044
to_degrees	D115	0	346.121	347.648	1.527	0.441	1.0044
tanh	D462	0	3350.975	3365.721	14.746	0.440	1.0044
hypot	D153	76	623.737	626.387	2.650	0.425	1.0042
cbrt	D230	229	14822.884	14885.322	62.438	0.421	1.0042
exp	D462	461	246570.677	247601.664	1030.988	0.418	1.0042
powf	D307	230	29874.208	29998.973	124.765	0.418	1.0042
add	D616	462	45.066	45.252	0.186	0.413	1.0041
powf	D307	153	22832.458	22926.368	93.910	0.411	1.0041
add	D57	56	2.246	2.255	0.009	0.410	1.0041
log	D153	38	9052.949	9089.973	37.024	0.409	1.0041
neg	D462	0	14.954	15.015	0.061	0.408	1.0041
to_radians	D924	693	7760.831	7792.465	31.634	0.408	1.0041
powf	D230	0	284.821	285.972	1.150	0.404	1.0040
acosh	D307	230	90205.000	90565.293	360.293	0.399	1.0040
to_degrees	D76	38	258.565	259.597	1.032	0.399	1.0040
mul	D153	76	79.737	80.055	0.318	0.398	1.0040
acosh	D230	229	73122.715	73411.622	288.907	0.395	1.0040
add	D18	4	0.934	0.938	0.004	0.395	1.0040
tan	D57	42	5617.394	5639.432	22.038	0.392	1.0039
asinh	D153	38	16167.155	16230.294	63.139	0.391	1.0039
sqrt	D57	0	146.026	146.594	0.569	0.389	1.0039
acos	D924	693	858826.506	862150.567	3324.061	0.387	1.0039
sqrt	D153	114	1875.533	1882.792	7.259	0.387	1.0039
powf	D924	0	988.775	992.573	3.798	0.384	1.0038
sub	D153	0	7.631	7.660	0.029	0.381	1.0038
sqrt	D230	0	151.656	152.224	0.568	0.375	1.0037
add	D307	0	19.518	19.591	0.073	0.374	1.0037
atan	D76	19	4688.203	4705.730	17.527	0.374	1.0037
add	D57	0	2.085	2.092	0.008	0.372	1.0037
rem	D115	28	6.407	6.431	0.024	0.371	1.0037
cos	D76	19	2280.897	2289.253	8.357	0.366	1.0037
hypot	D307	230	3221.625	3233.405	11.779	0.366	1.0037
div	D76	75	103.829	104.208	0.378	0.364	1.0036
tanh	D307	230	86358.281	86670.931	312.650	0.362	1.0036
to_radians	D115	86	993.819	997.411	3.592	0.361	1.0036
log	D616	462	60995.714	61215.684	219.970	0.361	1.0036
sin	D924	462	249155.045	250049.752	894.707	0.359	1.0036
acosh	D153	76	11110.275	11149.923	39.649	0.357	1.0036
acos	D616	615	706643.801	709162.045	2518.244	0.356	1.0036
add	D924	693	75.998	76.268	0.270	0.356	1.0036
sqrt	D307	76	1963.109	1970.059	6.950	0.354	1.0035
cosh	D616	615	446419.431	447991.798	1572.367	0.352	1.0035
asinh	D307	306	176651.573	177270.277	618.704	0.350	1.0035
sin	D76	19	2116.417	2123.828	7.411	0.350	1.0035
sub	D1232	1231	111.666	112.056	0.391	0.350	1.0035
acosh	D57	28	3576.318	3588.713	12.395	0.347	1.0035
sinh	D616	615	446568.946	448112.649	1543.703	0.346	1.0035
log	D307	230	25464.650	25551.592	86.942	0.341	1.0034
acos	D307	306	191116.981	191769.092	652.110	0.341	1.0034
sqrt	D76	57	841.094	843.926	2.833	0.337	1.0034
cosh	D924	693	557313.078	559171.877	1858.799	0.334	1.0033
atan	D38	28	9725.219	9757.294	32.075	0.330	1.0033
mul	D76	75	83.730	84.006	0.276	0.330	1.0033
sqrt	D115	114	1650.783	1656.202	5.419	0.328	1.0033
cosh	D230	172	39461.634	39590.927	129.294	0.328	1.0033
ln	D924	231	1521.023	1525.988	4.964	0.326	1.0033
to_radians	D18	4	145.552	146.023	0.472	0.324	1.0032
to_degrees	D307	230	2162.746	2169.667	6.921	0.320	1.0032
mul	D1232	616	3571.962	3583.172	11.210	0.314	1.0031
sub	D76	0	3.442	3.453	0.011	0.312	1.0031
add	D307	76	15.138	15.185	0.047	0.312	1.0031
mul	D924	923	5878.243	5896.528	18.285	0.311	1.0031
acos	D153	114	40893.456	41020.518	127.062	0.311	1.0031
to_degrees	D924	0	1602.911	1607.848	4.936	0.308	1.0031
to_radians	D115	114	1041.461	1044.626	3.166	0.304	1.0030
sqrt	D616	615	20496.561	20558.347	61.785	0.301	1.0030
asin	D462	461	394628.097	395806.341	1178.243	0.299	1.0030
sqrt	D230	115	2481.033	2488.437	7.404	0.298	1.0030
add	D38	37	1.821	1.826	0.005	0.297	1.0030
cbrt	D307	76	4953.954	4968.671	14.716	0.297	1.0030
mul	D230	172	473.494	474.895	1.401	0.296	1.0030
sqrt	D76	75	814.261	816.660	2.399	0.295	1.0029
sinh	D153	76	11577.922	11611.959	34.036	0.294	1.0029
sqrt	D230	172	2962.544	2971.219	8.675	0.293	1.0029
powf	D115	114	11444.519	11478.012	33.494	0.293	1.0029
sqrt	D307	0	166.587	167.074	0.487	0.292	1.0029
sin	D18	9	5768.684	5785.473	16.789	0.291	1.0029
sub	D57	42	1.935	1.941	0.006	0.286	1.0029
sqrt	D153	38	1023.450	1026.372	2.921	0.285	1.0029
exp	D38	37	10723.888	10754.231	30.343	0.283	1.0028
cos	D307	76	11090.324	11121.450	31.126	0.281	1.0028
powf	D153	0	175.857	176.346	0.489	0.278	1.0028
sin	D57	42	4276.716	4288.594	11.878	0.278	1.0028
sub	D616	308	44.910	45.034	0.123	0.275	1.0027
sub	D462	346	37.252	37.354	0.102	0.275	1.0027
tan	D616	615	485462.832	486789.556	1326.724	0.273	1.0027
exp	D616	615	439562.125	440755.120	1192.995	0.271	1.0027
to_radians	D462	461	4794.378	4807.355	12.977	0.271	1.0027
sub	D18	9	1.054	1.057	0.003	0.270	1.0027
log	D616	308	51138.258	51275.545	137.287	0.268	1.0027
powf	D616	154	175543.691	176012.830	469.139	0.267	1.0027
neg	D924	0	63.656	63.826	0.170	0.267	1.0027
log	D924	923	110963.424	111256.199	292.776	0.264	1.0026
sinh	D57	56	10001.825	10027.889	26.064	0.261	1.0026
tan	D230	115	23034.510	23094.345	59.835	0.260	1.0026
div	D307	230	607.604	609.182	1.578	0.260	1.0026
asin	D616	615	698960.449	700763.750	1803.301	0.258	1.0026
tanh	D616	615	449783.518	450914.417	1130.898	0.251	1.0025
powf	D115	28	5207.657	5220.686	13.029	0.250	1.0025
neg	D616	615	21.577	21.631	0.054	0.249	1.0025
add	D307	306	19.572	19.621	0.048	0.247	1.0025
tan	D230	172	36887.263	36978.069	90.806	0.246	1.0025
acos	D38	28	11297.727	11325.481	27.754	0.246	1.0025
acos	D1232	616	489234.337	490435.570	1201.234	0.246	1.0025
atanh	D924	462	676580.762	678234.776	1654.014	0.244	1.0024
hypot	D462	231	3681.343	3690.304	8.961	0.243	1.0024
sinh	D307	230	84143.029	84347.542	204.513	0.243	1.0024
mul	D38	0	3.490	3.498	0.008	0.243	1.0024
asinh	D924	462	500074.493	501287.689	1213.197	0.243	1.0024
acos	D924	0	5345.093	5358.048	12.956	0.242	1.0024
mul	D230	115	370.225	371.122	0.897	0.242	1.0024
atanh	D57	28	4896.585	4908.387	11.802	0.241	1.0024
sqrt	D924	923	25168.051	25228.095	60.044	0.239	1.0024
neg	D57	0	1.551	1.555	0.004	0.235	1.0023
log	D18	0	7692.082	7709.769	17.687	0.230	1.0023
powf	D38	37	11470.695	11496.858	26.163	0.228	1.0023
atan	D924	693	813671.312	815513.438	1842.126	0.226	1.0023
neg	D307	76	9.586	9.608	0.021	0.224	1.0022
tan	D924	693	602406.055	603750.396	1344.341	0.223	1.0022
cbrt	D153	152	6809.933	6825.119	15.186	0.223	1.0022
atanh	D153	76	16805.628	16842.681	37.053	0.220	1.0022
atan	D115	0	3870.624	3879.067	8.443	0.218	1.0022
mul	D307	306	1472.919	1476.125	3.206	0.218	1.0022
mul	D924	231	1306.525	1309.356	2.831	0.217	1.0022
atan	D924	231	104415.662	104640.982	225.320	0.216	1.0022
cbrt	D76	38	863.733	865.580	1.848	0.214	1.0021
mul	D115	86	213.777	214.225	0.448	0.210	1.0021
asin	D924	693	856924.696	858720.230	1795.534	0.210	1.0021
acosh	D18	0	25723.892	25777.488	53.596	0.208	1.0021
tanh	D115	86	23241.069	23289.296	48.227	0.208	1.0021
asinh	D307	230	122683.571	122937.748	254.177	0.207	1.0021
hypot	D1232	1231	50812.263	50917.495	105.232	0.207	1.0021
sub	D307	76	19.508	19.548	0.040	0.207	1.0021
sinh	D76	19	3518.536	3525.773	7.237	0.206	1.0021
mul	D38	19	27.362	27.418	0.056	0.204	1.0020
add	D38	28	1.601	1.604	0.003	0.204	1.0020
ln	D18	17	399.943	400.757	0.814	0.204	1.0020
mul	D462	231	1302.026	1304.666	2.640	0.203	1.0020
acos	D462	461	397267.850	398071.344	803.493	0.202	1.0020
cosh	D230	0	49.057	49.155	0.099	0.201	1.0020
tanh	D38	37	16537.454	16570.358	32.904	0.199	1.0020
cos	D230	229	73075.336	73219.119	143.784	0.197	1.0020
asin	D153	152	59274.132	59390.070	115.937	0.196	1.0020
log	D924	693	123036.187	123276.310	240.123	0.195	1.0020
asinh	D57	42	7384.633	7398.939	14.306	0.194	1.0019
add	D115	86	4.981	4.990	0.010	0.193	1.0019
log	D18	4	8717.545	8734.341	16.796	0.193	1.0019
asin	D76	0	5077.658	5087.438	9.780	0.193	1.0019
ln	D924	923	3053.598	3059.428	5.829	0.191	1.0019
atanh	D38	37	16018.404	16048.687	30.283	0.189	1.0019
sinh	D307	0	87.277	87.442	0.165	0.189	1.0019
cos	D462	0	139.755	140.017	0.263	0.188	1.0019
add	D18	13	1.054	1.056	0.002	0.188	1.0019
asinh	D616	0	74.233	74.370	0.137	0.184	1.0018
neg	D462	461	16.999	17.030	0.031	0.184	1.0018
cosh	D57	56	10028.518	10046.925	18.406	0.184	1.0018
asin	D924	0	5321.131	5330.637	9.506	0.179	1.0018
to_degrees	D76	0	197.377	197.726	0.349	0.177	1.0018
cosh	D462	0	137.782	138.025	0.242	0.176	1.0018
hypot	D153	38	607.094	608.159	1.064	0.175	1.0018
neg	D924	231	58.552	58.654	0.102	0.175	1.0017
ln	D38	9	285.497	285.995	0.497	0.174	1.0017
acosh	D924	0	33154.308	33211.461	57.153	0.172	1.0017
add	D1232	924	94.905	95.065	0.160	0.168	1.0017
add	D115	0	4.397	4.405	0.007	0.168	1.0017
cosh	D924	462	266690.330	267137.141	446.811	0.168	1.0017
mul	D462	346	1718.684	1721.514	2.830	0.165	1.0016
acos	D38	19	7242.753	7254.626	11.873	0.164	1.0016
cbrt	D115	86	3731.083	3737.144	6.061	0.162	1.0016
acos	D115	86	33165.959	33219.826	53.867	0.162	1.0016
atanh	D115	0	1030.429	1032.089	1.661	0.161	1.0016
exp	D307	230	83385.784	83519.794	134.011	0.161	1.0016
atanh	D18	9	9395.869	9410.896	15.027	0.160	1.0016
tanh	D18	9	10335.078	10351.439	16.361	0.158	1.0016
rem	D38	9	5.050	5.058	0.008	0.158	1.0016
sqrt	D462	0	173.078	173.349	0.271	0.157	1.0016
cosh	D307	230	84690.936	84822.036	131.100	0.155	1.0015
tan	D18	4	7630.858	7642.637	11.779	0.154	1.0015
atanh	D230	229	125494.012	125687.027	193.015	0.154	1.0015
mul	D924	462	2957.513	2962.045	4.532	0.153	1.0015
sub	D462	0	37.065	37.121	0.056	0.151	1.0015
atanh	D307	76	33635.002	33685.088	50.085	0.149	1.0015
rem	D57	0	6.605	6.614	0.010	0.147	1.0015
add	D38	19	1.606	1.608	0.002	0.147	1.0015
cosh	D57	14	4980.361	4987.634	7.273	0.146	1.0015
mul	D230	229	1039.037	1040.550	1.514	0.146	1.0015
powf	D230	115	16028.298	16051.638	23.340	0.146	1.0015
tan	D57	56	8618.771	8631.273	12.501	0.145	1.0015
tan	D38	9	5384.368	5392.157	7.790	0.145	1.0014
sinh	D924	462	267035.977	267421.896	385.919	0.145	1.0014
cbrt	D616	462	57967.021	58050.353	83.332	0.144	1.0014
mul	D57	56	71.663	71.765	0.103	0.143	1.0014
exp	D18	9	6775.909	6785.454	9.545	0.141	1.0014
to_degrees	D1232	308	3863.601	3868.958	5.357	0.139	1.0014
rem	D307	76	37.267	37.317	0.050	0.135	1.0014
sin	D924	693	562734.726	563494.570	759.844	0.135	1.0014
exp	D307	153	37430.810	37481.158	50.348	0.135	1.0013
cosh	D18	4	7340.537	7350.393	9.856	0.134	1.0013
to_degrees	D462	461	4151.321	4156.890	5.569	0.134	1.0013
tanh	D115	114	28644.437	28682.787	38.350	0.134	1.0013
rem	D76	57	8.415	8.426	0.011	0.133	1.0013
powf	D462	231	147068.657	147263.258	194.601	0.132	1.0013
exp	D153	114	21451.547	21479.806	28.259	0.132	1.0013
acos	D57	42	12274.789	12290.950	16.161	0.132	1.0013
atan	D230	172	57937.804	58014.042	76.238	0.132	1.0013
exp	D230	172	37553.992	37603.144	49.152	0.131	1.0013
exp	D38	9	3538.068	3542.681	4.614	0.130	1.0013
tan	D230	0	47.894	47.957	0.062	0.130	1.0013
hypot	D115	28	47.143	47.204	0.061	0.129	1.0013
div	D153	152	298.115	298.498	0.383	0.128	1.0013
sub	D38	0	1.612	1.614	0.002	0.128	1.0013
add	D924	0	88.296	88.408	0.112	0.127	1.0013
atan	D307	0	4224.982	4230.264	5.282	0.125	1.0013
exp	D76	38	5621.444	5628.412	6.968	0.124	1.0012
cos	D924	462	256022.988	256340.256	317.268	0.124	1.0012
sqrt	D307	230	4768.127	4773.996	5.869	0.123	1.0012
sinh	D153	0	21.804	21.831	0.027	0.122	1.0012
hypot	D462	461	9048.086	9059.108	11.021	0.122	1.0012
sub	D115	86	5.551	5.558	0.007	0.122	1.0012
log	D38	0	7710.439	7719.757	9.318	0.121	1.0012
asinh	D924	693	869829.251	870849.108	1019.857	0.117	1.0012
asin	D924	462	421188.009	421680.610	492.601	0.117	1.0012
exp	D18	4	4411.233	4416.349	5.116	0.116	1.0012
tanh	D18	17	12119.969	12134.020	14.050	0.116	1.0012
add	D18	0	0.937	0.938	0.001	0.115	1.0012
cosh	D18	13	11019.657	11032.082	12.425	0.113	1.0011
powf	D924	923	1232494.167	1233876.524	1382.357	0.112	1.0011
atanh	D616	154	116342.983	116472.635	129.652	0.111	1.0011
neg	D57	56	1.682	1.684	0.002	0.110	1.0011
cbrt	D38	0	5071.344	5076.886	5.542	0.109	1.0011
add	D18	17	1.054	1.055	0.001	0.109	1.0011
to_degrees	D76	19	156.578	156.747	0.169	0.108	1.0011
sinh	D38	37	16523.541	16541.228	17.687	0.107	1.0011
neg	D230	229	7.235	7.242	0.008	0.107	1.0011
sub	D38	37	1.815	1.817	0.002	0.106	1.0011
add	D230	0	13.827	13.841	0.014	0.105	1.0010
tanh	D307	306	126887.750	127020.579	132.830	0.105	1.0010
tan	D18	9	10743.786	10755.009	11.224	0.104	1.0010
sub	D57	56	2.248	2.250	0.002	0.104	1.0010
to_radians	D38	0	4.360	4.364	0.005	0.104	1.0010
sub	D38	19	1.610	1.612	0.002	0.104	1.0010
sub	D18	4	0.933	0.934	0.001	0.103	1.0010
rem	D76	75	7.368	7.376	0.008	0.103	1.0010
rem	D57	56	7.158	7.165	0.007	0.102	1.0010
add	D38	9	0.981	0.982	0.001	0.102	1.0010
asin	D18	13	32430.883	32463.855	32.972	0.102	1.0010
sqrt	D38	28	1473.981	1475.474	1.492	0.101	1.0010
div	D462	231	698.702	699.393	0.691	0.099	1.0010
sub	D76	75	2.676	2.679	0.003	0.098	1.0010
neg	D115	114	3.549	3.552	0.003	0.098	1.0010
cos	D76	0	3.145	3.149	0.003	0.097	1.0010
add	D18	9	1.054	1.055	0.001	0.096	1.0010
cbrt	D115	114	5282.233	5287.281	5.048	0.096	1.0010
exp	D76	57	8845.507	8853.958	8.451	0.096	1.0010
atanh	D18	4	7365.120	7372.119	6.998	0.095	1.0010
cbrt	D616	615	85194.557	85275.404	80.847	0.095	1.0009
div	D115	57	103.661	103.758	0.098	0.094	1.0009
rem	D1232	308	136.342	136.470	0.128	0.094	1.0009
cos	D153	0	22.740	22.761	0.021	0.093	1.0009
neg	D38	37	1.447	1.448	0.001	0.088	1.0009
cosh	D18	9	10166.337	10175.288	8.952	0.088	1.0009
atan	D1232	0	3078.013	3080.721	2.708	0.088	1.0009
powf	D616	615	571174.459	571676.069	501.610	0.088	1.0009
asinh	D76	0	2.221	2.223	0.002	0.087	1.0009
tan	D38	0	4.360	4.364	0.004	0.086	1.0009
sqrt	D57	42	541.508	541.966	0.457	0.084	1.0008
add	D115	114	4.989	4.993	0.004	0.084	1.0008
cos	D57	0	2.013	2.015	0.002	0.083	1.0008
hypot	D38	9	32.078	32.104	0.026	0.081	1.0008
asinh	D18	4	21522.045	21539.460	17.414	0.081	1.0008
acos	D307	0	5128.516	5132.612	4.096	0.080	1.0008
to_degrees	D38	28	4716.419	4720.179	3.760	0.080	1.0008
acosh	D38	37	66018.334	66070.638	52.303	0.079	1.0008
rem	D230	172	23.230	23.248	0.018	0.078	1.0008
atan	D18	9	2670.352	2672.430	2.078	0.078	1.0008
cosh	D153	0	22.423	22.440	0.017	0.077	1.0008
atanh	D924	693	1383702.158	1384761.395	1059.237	0.077	1.0008
to_degrees	D38	9	1396.243	1397.295	1.052	0.075	1.0008
sub	D307	0	25.111	25.129	0.019	0.075	1.0008
sqrt	D230	229	4176.723	4179.829	3.106	0.074	1.0007
div	D38	28	725.490	726.016	0.526	0.073	1.0007
acosh	D18	4	29152.878	29173.879	21.001	0.072	1.0007
sinh	D57	0	9.804	9.811	0.007	0.071	1.0007
cbrt	D38	28	9658.354	9665.156	6.801	0.070	1.0007
sub	D153	152	7.617	7.623	0.005	0.070	1.0007
rem	D230	115	35.927	35.951	0.025	0.068	1.0007
sub	D18	13	1.055	1.056	0.001	0.065	1.0007
neg	D616	308	20.170	20.183	0.013	0.065	1.0006
atanh	D38	28	12952.118	12960.433	8.315	0.064	1.0006
sin	D38	0	4.357	4.360	0.003	0.063	1.0006
hypot	D115	0	21.313	21.327	0.013	0.062	1.0006
cos	D230	0	48.835	48.866	0.030	0.062	1.0006
neg	D230	57	6.649	6.653	0.004	0.062	1.0006
div	D76	38	65.602	65.643	0.041	0.062	1.0006
acos	D462	0	4869.754	4872.746	2.993	0.061	1.0006
sinh	D115	86	22776.152	22789.914	13.762	0.060	1.0006
mul	D38	9	10.924	10.930	0.006	0.059	1.0006
log	D230	229	17932.229	17942.741	10.512	0.059	1.0006
to_degrees	D38	37	5850.787	5854.139	3.352	0.057	1.0006
neg	D153	0	3.787	3.789	0.002	0.057	1.0006
rem	D115	86	14.047	14.055	0.008	0.057	1.0006
hypot	D230	0	29.333	29.350	0.016	0.056	1.0006
rem	D18	17	2.458	2.460	0.001	0.056	1.0006
sub	D307	230	25.123	25.137	0.014	0.055	1.0006
tanh	D38	9	5032.813	5035.585	2.771	0.055	1.0006
sub	D307	306	25.189	25.202	0.014	0.054	1.0005
acosh	D924	693	751895.621	752295.275	399.654	0.053	1.0005
asinh	D38	19	33709.103	33726.401	17.298	0.051	1.0005
cbrt	D38	37	10894.189	10899.762	5.573	0.051	1.0005
acos	D230	229	131085.392	131152.144	66.751	0.051	1.0005
acosh	D38	19	41296.436	41317.423	20.987	0.051	1.0005
hypot	D57	56	717.208	717.569	0.361	0.050	1.0005
atanh	D18	17	11280.919	11286.560	5.642	0.050	1.0005
sub	D18	17	1.054	1.055	0.001	0.050	1.0005
tan	D924	462	275223.243	275357.074	133.831	0.049	1.0005
ln	D18	0	4.354	4.356	0.002	0.048	1.0005
rem	D924	923	74.780	74.815	0.036	0.048	1.0005
rem	D153	38	20.040	20.050	0.010	0.048	1.0005
atanh	D924	923	1828082.214	1828938.643	856.429	0.047	1.0005
asin	D924	231	113077.560	113130.343	52.783	0.047	1.0005
cos	D38	37	9699.768	9704.185	4.417	0.046	1.0005
hypot	D76	0	17.066	17.074	0.008	0.044	1.0004
rem	D18	9	2.108	2.109	0.001	0.044	1.0004
hypot	D18	9	42.866	42.885	0.019	0.044	1.0004
rem	D115	114	14.057	14.063	0.006	0.043	1.0004
cosh	D115	86	22785.635	22795.357	9.722	0.043	1.0004
div	D38	9	8.458	8.461	0.004	0.042	1.0004
div	D38	37	1065.495	1065.936	0.441	0.041	1.0004
sin	D18	17	6903.535	6906.374	2.839	0.041	1.0004
asin	D18	9	29639.866	29652.025	12.158	0.041	1.0004
div	D1232	1231	7873.251	7876.465	3.214	0.041	1.0004
neg	D76	38	1.673	1.674	0.001	0.041	1.0004
acosh	D18	9	35462.584	35476.890	14.306	0.040	1.0004
add	D1232	0	76.720	76.751	0.030	0.040	1.0004
to_degrees	D18	13	3794.403	3795.906	1.503	0.040	1.0004
cbrt	D18	0	5073.479	5075.464	1.984	0.039	1.0004
neg	D230	115	7.236	7.239	0.003	0.038	1.0004
cosh	D307	0	97.100	97.137	0.037	0.038	1.0004
neg	D115	86	3.542	3.543	0.001	0.038	1.0004
cbrt	D38	19	7707.843	7710.721	2.878	0.037	1.0004
cosh	D38	0	4.048	4.049	0.001	0.037	1.0004
tan	D38	37	17714.506	17721.034	6.527	0.037	1.0004
neg	D924	923	72.342	72.369	0.027	0.037	1.0004
cos	D230	172	32495.757	32507.631	11.874	0.037	1.0004
acosh	D18	17	38363.842	38377.447	13.606	0.035	1.0004
to_degrees	D38	19	4006.246	4007.612	1.366	0.034	1.0003
to_degrees	D18	17	4141.824	4143.179	1.356	0.033	1.0003
to_degrees	D18	9	3465.529	3466.657	1.128	0.033	1.0003
cos	D924	923	782349.212	782600.008	250.796	0.032	1.0003
to_radians	D57	42	343.052	343.160	0.108	0.031	1.0003
neg	D18	17	0.702	0.703	0.000	0.031	1.0003
sin	D307	0	88.525	88.552	0.027	0.031	1.0003
cos	D18	9	5965.506	5967.334	1.828	0.031	1.0003
cos	D38	0	4.981	4.982	0.002	0.030	1.0003
rem	D18	13	2.459	2.459	0.001	0.030	1.0003
atanh	D38	19	11010.420	11013.753	3.333	0.030	1.0003
mul	D307	153	513.378	513.533	0.155	0.030	1.0003
neg	D307	153	12.361	12.364	0.004	0.030	1.0003
sub	D57	0	2.078	2.078	0.001	0.030	1.0003
rem	D76	0	9.834	9.837	0.003	0.029	1.0003
hypot	D38	37	107.773	107.804	0.031	0.029	1.0003
add	D462	0	28.928	28.936	0.008	0.028	1.0003
tanh	D18	0	3.420	3.421	0.001	0.028	1.0003
sqrt	D924	462	16986.887	16991.633	4.747	0.028	1.0003
sqrt	D38	37	3190.525	3191.383	0.858	0.027	1.0003
powf	D18	9	7462.482	7464.479	1.997	0.027	1.0003
asinh	D18	9	29001.713	29009.430	7.716	0.027	1.0003
ln	D462	346	3743.731	3744.726	0.994	0.027	1.0003
hypot	D462	0	68.412	68.430	0.018	0.026	1.0003
powf	D462	0	611.799	611.950	0.151	0.025	1.0002
cbrt	D230	172	9248.460	9250.605	2.145	0.023	1.0002
tan	D18	13	11642.060	11644.748	2.688	0.023	1.0002
cbrt	D18	13	8696.900	8698.895	1.995	0.023	1.0002
asinh	D38	0	3.736	3.737	0.001	0.023	1.0002
tan	D153	0	22.458	22.463	0.005	0.022	1.0002
powf	D230	172	15535.994	15539.368	3.374	0.022	1.0002
mul	D616	615	4183.888	4184.795	0.908	0.022	1.0002
sub	D1232	308	96.689	96.710	0.021	0.022	1.0002
to_radians	D18	13	207.705	207.746	0.042	0.020	1.0002
neg	D307	306	12.361	12.363	0.002	0.020	1.0002
cos	D18	13	6409.837	6410.970	1.133	0.018	1.0002
rem	D1232	616	90.263	90.278	0.015	0.017	1.0002
sinh	D38	9	4907.653	4908.453	0.800	0.016	1.0002
to_degrees	D57	42	259.232	259.273	0.042	0.016	1.0002
mul	D307	76	144.966	144.988	0.022	0.015	1.0002
to_degrees	D18	0	4.042	4.043	0.001	0.014	1.0001
div	D115	86	185.534	185.557	0.023	0.013	1.0001
to_radians	D18	9	203.611	203.635	0.024	0.012	1.0001
log	D153	76	6969.187	6969.897	0.710	0.010	1.0001
sin	D38	9	2808.561	2808.845	0.284	0.010	1.0001
