# library: decimal-scaled
# key: method	width	scale	rounding	result
# result columns: kind(executed|na)	max_lsbe	max_ulp	scored	correctly_rounded	max_digits	reach_scale
# max_digits = exact decimal-digit length of the worst error magnitude (what the fidelity grade scores); max_lsbe is its bit-width.
# reach_scale = the depth (fractional digits) this library was actually graded at — its own last representable digit; equals `scale` for arbitrary-precision peers and decimal-scaled, equals the library's cap for a fixed-precision peer running on a deeper cell. The lsbe/ulp/digits in this row measure correctness at THAT depth (grade-at-own-last-digit), and the gap `scale - reach_scale` is the shallower-reach metric.
# source: benches/lib_cmp_precision.rs (regenerate with `cargo bench --bench lib_cmp_precision --features wide,x-wide,xx-wide,macros`)
method	width	scale	rounding	kind	max_lsbe	max_ulp	scored	correctly_rounded	max_digits	reach_scale
cbrt	D153	76	HalfToEven	executed	0	0	66	66	0	76
cbrt	D153	114	HalfToEven	executed	0	0	66	66	0	114
cbrt	D153	152	HalfToEven	executed	0	0	23	23	0	152
cbrt	D230	0	HalfToEven	executed	0	0	110	110	0	0
cbrt	D230	57	HalfToEven	executed	0	0	117	117	0	57
cbrt	D230	115	HalfToEven	executed	0	0	117	117	0	115
cbrt	D230	172	HalfToEven	executed	0	0	117	117	0	172
cbrt	D230	229	HalfToEven	executed	0	0	57	57	0	229
cbrt	D307	0	HalfToEven	executed	0	0	55	55	0	0
cbrt	D307	76	HalfToEven	executed	0	0	57	57	0	76
cbrt	D307	153	HalfToEven	executed	0	0	57	57	0	153
cbrt	D307	230	HalfToEven	executed	0	0	57	57	0	230
cbrt	D307	306	HalfToEven	executed	0	0	18	18	0	306
cbrt	D462	0	HalfToEven	executed	0	0	114	114	0	0
cbrt	D462	115	HalfToEven	executed	0	0	117	117	0	115
cbrt	D462	231	HalfToEven	executed	0	0	117	117	0	231
cbrt	D462	346	HalfToEven	executed	0	0	117	117	0	346
cbrt	D462	461	HalfToEven	executed	0	0	57	57	0	461
cbrt	D616	0	HalfToEven	executed	0	0	111	111	0	0
cbrt	D616	154	HalfToEven	executed	0	0	117	117	0	154
cbrt	D616	308	HalfToEven	executed	0	0	117	117	0	308
cbrt	D616	462	HalfToEven	executed	0	0	117	117	0	462
cbrt	D616	615	HalfToEven	executed	0	0	57	57	0	615
cbrt	D924	0	HalfToEven	executed	0	0	110	110	0	0
cbrt	D924	231	HalfToEven	executed	0	0	117	117	0	231
cbrt	D924	462	HalfToEven	executed	0	0	117	117	0	462
cbrt	D924	693	HalfToEven	executed	0	0	117	117	0	693
cbrt	D924	923	HalfToEven	executed	0	0	57	57	0	923
cbrt	D1232	0	HalfToEven	executed	0	0	111	111	0	0
cbrt	D1232	308	HalfToEven	executed	0	0	117	117	0	308
cbrt	D1232	616	HalfToEven	executed	0	0	117	117	0	616
cbrt	D1232	924	HalfToEven	executed	0	0	117	117	0	924
cbrt	D1232	1231	HalfToEven	executed	0	0	57	57	0	1231
exp	D18	0	HalfToEven	executed	0	0	32	32	0	0
exp	D18	4	HalfToEven	executed	0	0	67	67	0	4
