# library: dashu-float
# key: method	width	scale	rounding	result
# result columns: kind(executed|na)	max_lsbe	max_ulp	scored	correctly_rounded	max_digits
# max_digits = exact decimal-digit length of the worst error magnitude (what the fidelity grade scores); max_lsbe is its bit-width.
# source: benches/lib_cmp_precision.rs (regenerate with `cargo bench --bench lib_cmp_precision --features wide,x-wide,xx-wide,macros`)
method	width	scale	rounding	kind	max_lsbe	max_ulp	scored	correctly_rounded	max_digits
exp	D115	0	HalfAwayFromZero	executed	243	3.097e72	25	14	73
exp	D115	57	HalfAwayFromZero	executed	53	5.492e15	39	33	16
exp	D115	114	HalfAwayFromZero	executed	0	0	18	18	0
exp	D153	0	HalfAwayFromZero	executed	369	3.390e110	25	16	111
exp	D153	76	HalfAwayFromZero	executed	119	3.861e35	35	27	36
exp	D153	152	HalfAwayFromZero	executed	60	6.118e17	9	2	18
exp	D230	0	HalfAwayFromZero	executed	628	2.453e188	21	14	189
exp	D230	115	HalfAwayFromZero	executed	246	1.051e73	30	26	74
exp	D230	229	HalfAwayFromZero	executed	0	0	10	10	0
exp	D307	0	HalfAwayFromZero	executed	884	1.118e265	16	10	266
exp	D307	30	HalfAwayFromZero	executed	781	7.891e234	26	22	235
exp	D307	70	HalfAwayFromZero	executed	648	4.453e194	26	24	195
exp	D307	120	HalfAwayFromZero	executed	486	4.075e145	26	20	146
exp	D307	150	HalfAwayFromZero	executed	386	2.957e115	26	20	116
exp	D307	306	HalfAwayFromZero	executed	0	0	13	13	0
exp	D462	0	HalfAwayFromZero	executed	1399	inf	19	13	421
exp	D462	30	HalfAwayFromZero	executed	1299	inf	26	22	391
exp	D462	100	HalfAwayFromZero	executed	1064	inf	26	18	320
exp	D462	180	HalfAwayFromZero	executed	798	5.908e239	26	24	240
exp	D462	230	HalfAwayFromZero	executed	635	1.732e190	26	20	191
exp	D462	461	HalfAwayFromZero	executed	0	0	11	11	0
exp	D616	0	HalfAwayFromZero	executed	1911	inf	19	13	575
exp	D616	30	HalfAwayFromZero	executed	1808	inf	26	22	544
exp	D616	130	HalfAwayFromZero	executed	1475	inf	26	22	444
exp	D616	240	HalfAwayFromZero	executed	1110	inf	26	22	334
exp	D616	308	HalfAwayFromZero	executed	887	4.755e266	26	22	267
exp	D616	615	HalfAwayFromZero	executed	0	0	13	13	0
exp	D924	0	HalfAwayFromZero	executed	2934	inf	18	16	883
exp	D924	30	HalfAwayFromZero	executed	2834	inf	26	18	853
exp	D924	180	HalfAwayFromZero	executed	2336	inf	26	20	703
exp	D924	350	HalfAwayFromZero	executed	1771	inf	26	20	533
exp	D924	460	HalfAwayFromZero	executed	1406	inf	26	18	423
exp	D924	923	HalfAwayFromZero	executed	0	0	11	11	0
exp	D1232	0	HalfAwayFromZero	executed	3957	inf	19	13	1191
exp	D1232	30	HalfAwayFromZero	executed	3857	inf	26	20	1161
exp	D1232	250	HalfAwayFromZero	executed	3126	inf	26	20	941
exp	D1232	470	HalfAwayFromZero	executed	2396	inf	26	22	721
exp	D1232	615	HalfAwayFromZero	executed	1911	inf	26	22	575
exp	D1232	1231	HalfAwayFromZero	executed	0	0	13	13	0
ln	D18	0	HalfAwayFromZero	executed	0	0	42	42	0
ln	D18	9	HalfAwayFromZero	executed	0	0	66	66	0
ln	D18	17	HalfAwayFromZero	executed	0	0	40	40	0
ln	D38	0	HalfAwayFromZero	executed	0	0	37	37	0
ln	D38	19	HalfAwayFromZero	executed	0	0	58	58	0
ln	D38	37	HalfAwayFromZero	executed	0	0	33	33	0
ln	D57	0	HalfAwayFromZero	executed	0	0	33	33	0
ln	D57	28	HalfAwayFromZero	executed	0	0	53	53	0
ln	D57	56	HalfAwayFromZero	executed	0	0	25	25	0
ln	D76	0	HalfAwayFromZero	executed	0	0	28	28	0
ln	D76	35	HalfAwayFromZero	executed	0	0	45	45	0
ln	D76	75	HalfAwayFromZero	executed	0	0	23	23	0
ln	D115	0	HalfAwayFromZero	executed	0	0	25	25	0
ln	D115	57	HalfAwayFromZero	executed	0	0	38	38	0
ln	D115	114	HalfAwayFromZero	executed	0	0	15	15	0
ln	D153	0	HalfAwayFromZero	executed	0	0	23	23	0
ln	D153	76	HalfAwayFromZero	executed	0	0	34	34	0
ln	D153	152	HalfAwayFromZero	executed	59	5.095e17	20	7	18
ln	D230	0	HalfAwayFromZero	executed	0	0	20	20	0
ln	D230	115	HalfAwayFromZero	executed	0	0	29	29	0
ln	D230	229	HalfAwayFromZero	executed	0	0	15	15	0
ln	D307	0	HalfAwayFromZero	executed	0	0	18	18	0
ln	D307	150	HalfAwayFromZero	executed	53	6.078e15	25	24	16
ln	D307	306	HalfAwayFromZero	executed	0	0	11	11	0
