# library: bigdecimal
# key: method	width	scale	rounding	result
# result columns: kind(executed|na)	max_lsbe	max_ulp	scored	correctly_rounded	max_digits	reach_scale
# max_digits = exact decimal-digit length of the worst error magnitude (what the fidelity grade scores); max_lsbe is its bit-width.
# reach_scale = the depth (fractional digits) this library was actually graded at — its own last representable digit; equals `scale` for arbitrary-precision peers and decimal-scaled, equals the library's cap for a fixed-precision peer running on a deeper cell. The lsbe/ulp/digits in this row measure correctness at THAT depth (grade-at-own-last-digit), and the gap `scale - reach_scale` is the shallower-reach metric.
# source: benches/lib_cmp_precision.rs (regenerate with `cargo bench --bench lib_cmp_precision --features wide,x-wide,xx-wide,macros`)
method	width	scale	rounding	kind	max_lsbe	max_ulp	scored	correctly_rounded	max_digits	reach_scale
cbrt	D115	0	HalfToEven	executed	1	1.000000	68	65	1	0
cbrt	D115	28	HalfToEven	executed	1	1.000000	68	61	1	28
cbrt	D115	57	HalfToEven	executed	1	1.000000	68	67	1	57
cbrt	D115	86	HalfToEven	executed	1	1.000000	68	66	1	86
cbrt	D115	114	HalfToEven	executed	46	4.670e13	25	2	14	114
cbrt	D153	0	HalfToEven	executed	1	1.000000	64	61	1	0
cbrt	D153	38	HalfToEven	executed	1	1.000000	64	61	1	38
cbrt	D153	76	HalfToEven	executed	6	43.000000	64	43	2	76
cbrt	D153	114	HalfToEven	executed	89	3.906e26	64	33	27	114
cbrt	D153	152	HalfToEven	executed	173	4.545e51	21	2	52	152
cbrt	D230	0	HalfToEven	executed	1	1.000000	110	106	1	0
cbrt	D230	57	HalfToEven	executed	49	4.719e14	115	65	15	57
cbrt	D230	115	HalfToEven	executed	177	4.813e52	115	37	53	115
cbrt	D230	172	HalfToEven	executed	303	4.703e90	115	37	91	172
cbrt	D230	229	HalfToEven	executed	429	5.000e128	55	2	129	229
cbrt	D307	0	HalfToEven	executed	6	44.000000	55	43	2	0
cbrt	D307	76	HalfToEven	executed	177	2.861e52	55	39	53	76
cbrt	D307	153	HalfToEven	executed	346	4.250e103	55	37	104	153
cbrt	D307	230	HalfToEven	executed	519	4.709e155	55	33	156	230
cbrt	D307	306	HalfToEven	executed	685	4.514e205	16	2	206	306
cbrt	D462	0	HalfToEven	executed	1	1.000000	74	73	1	0
cbrt	D462	115	HalfToEven	executed	432	3.801e129	78	33	130	115
cbrt	D462	231	HalfToEven	executed	691	4.982e207	115	33	208	231
cbrt	D462	346	HalfToEven	executed	947	4.972e284	115	33	285	346
cbrt	D462	461	HalfToEven	executed	1200	inf	55	2	361	461
cbrt	D616	0	HalfToEven	executed	1	1.000000	71	69	1	0
cbrt	D616	154	HalfToEven	executed	187	4.987e55	75	33	56	154
cbrt	D616	308	HalfToEven	executed	1034	inf	115	33	311	308
cbrt	D616	462	HalfToEven	executed	1372	inf	115	37	413	462
cbrt	D616	615	HalfToEven	executed	1711	inf	55	2	515	615
cbrt	D924	0	HalfToEven	executed	1	1.000000	70	66	1	0
cbrt	D924	231	HalfToEven	executed	442	4.959e132	75	33	133	231
cbrt	D924	462	HalfToEven	executed	1210	inf	75	33	364	462
cbrt	D924	693	HalfToEven	executed	2226	inf	115	33	670	693
cbrt	D924	923	HalfToEven	executed	2734	inf	55	2	823	923
cbrt	D1232	0	HalfToEven	executed	1	1.000000	71	69	1	0
cbrt	D1232	308	HalfToEven	executed	698	4.987e209	75	33	210	308
cbrt	D1232	616	HalfToEven	executed	1721	inf	75	33	518	616
cbrt	D1232	924	HalfToEven	executed	3080	inf	115	33	927	924
cbrt	D1232	1231	HalfToEven	executed	3758	inf	55	2	1131	1231
exp	D18	0	HalfToEven	na	-1	na	0	0	-1	0
exp	D18	4	HalfToEven	na	-1	na	0	0	-1	4
exp	D18	9	HalfToEven	na	-1	na	0	0	-1	9
exp	D18	13	HalfToEven	na	-1	na	0	0	-1	13
exp	D18	17	HalfToEven	na	-1	na	0	0	-1	17
exp	D38	0	HalfToEven	na	-1	na	0	0	-1	0
exp	D38	9	HalfToEven	na	-1	na	0	0	-1	9
exp	D38	19	HalfToEven	na	-1	na	0	0	-1	19
exp	D38	28	HalfToEven	na	-1	na	0	0	-1	28
exp	D38	37	HalfToEven	na	-1	na	0	0	-1	37
exp	D57	0	HalfToEven	na	-1	na	0	0	-1	0
exp	D57	14	HalfToEven	na	-1	na	0	0	-1	14
exp	D57	28	HalfToEven	na	-1	na	0	0	-1	28
exp	D57	42	HalfToEven	na	-1	na	0	0	-1	42
exp	D57	56	HalfToEven	na	-1	na	0	0	-1	56
exp	D76	0	HalfToEven	na	-1	na	0	0	-1	0
exp	D76	19	HalfToEven	na	-1	na	0	0	-1	19
exp	D76	38	HalfToEven	na	-1	na	0	0	-1	38
exp	D76	57	HalfToEven	na	-1	na	0	0	-1	57
exp	D76	75	HalfToEven	na	-1	na	0	0	-1	75
exp	D115	0	HalfToEven	na	-1	na	0	0	-1	0
exp	D115	28	HalfToEven	na	-1	na	0	0	-1	28
exp	D115	57	HalfToEven	na	-1	na	0	0	-1	57
exp	D115	86	HalfToEven	na	-1	na	0	0	-1	86
exp	D115	114	HalfToEven	na	-1	na	0	0	-1	114
exp	D153	0	HalfToEven	na	-1	na	0	0	-1	0
exp	D153	38	HalfToEven	na	-1	na	0	0	-1	38
exp	D153	76	HalfToEven	na	-1	na	0	0	-1	76
exp	D153	114	HalfToEven	na	-1	na	0	0	-1	114
exp	D153	152	HalfToEven	na	-1	na	0	0	-1	152
exp	D230	0	HalfToEven	na	-1	na	0	0	-1	0
exp	D230	57	HalfToEven	na	-1	na	0	0	-1	57
exp	D230	115	HalfToEven	na	-1	na	0	0	-1	115
exp	D230	172	HalfToEven	na	-1	na	0	0	-1	172
exp	D230	229	HalfToEven	na	-1	na	0	0	-1	229
exp	D307	0	HalfToEven	na	-1	na	0	0	-1	0
exp	D307	76	HalfToEven	na	-1	na	0	0	-1	76
exp	D307	153	HalfToEven	na	-1	na	0	0	-1	153
exp	D307	230	HalfToEven	na	-1	na	0	0	-1	230
exp	D307	306	HalfToEven	na	-1	na	0	0	-1	306
exp	D462	0	HalfToEven	na	-1	na	0	0	-1	0
exp	D462	115	HalfToEven	na	-1	na	0	0	-1	115
exp	D462	231	HalfToEven	na	-1	na	0	0	-1	231
exp	D462	346	HalfToEven	na	-1	na	0	0	-1	346
exp	D462	461	HalfToEven	na	-1	na	0	0	-1	461
exp	D616	0	HalfToEven	na	-1	na	0	0	-1	0
