# library: g_math
# key: method	width	scale	rounding	result
# result columns: kind(executed|na)	max_lsbe	max_ulp	scored	correctly_rounded	max_digits	reach_scale
# max_digits = exact decimal-digit length of the worst error magnitude (what the fidelity grade scores); max_lsbe is its bit-width.
# reach_scale = the depth (fractional digits) this library was actually graded at — its own last representable digit; equals `scale` for arbitrary-precision peers and decimal-scaled, equals the library's cap for a fixed-precision peer running on a deeper cell. The lsbe/ulp/digits in this row measure correctness at THAT depth (grade-at-own-last-digit), and the gap `scale - reach_scale` is the shallower-reach metric.
# source: benches/lib_cmp_precision.rs (regenerate with `cargo bench --bench lib_cmp_precision --features wide,x-wide,xx-wide,macros`)
method	width	scale	rounding	kind	max_lsbe	max_ulp	scored	correctly_rounded	max_digits	reach_scale
cbrt	D115	28	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D115	57	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D115	86	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D115	114	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D153	0	HalfToEven	na	-1	na	0	0	-1	0
cbrt	D153	38	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D153	76	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D153	114	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D153	152	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D230	0	HalfToEven	na	-1	na	0	0	-1	0
cbrt	D230	57	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D230	115	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D230	172	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D230	229	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D307	0	HalfToEven	na	-1	na	0	0	-1	0
cbrt	D307	76	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D307	153	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D307	230	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D307	306	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D462	0	HalfToEven	na	-1	na	0	0	-1	0
cbrt	D462	115	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D462	231	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D462	346	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D462	461	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D616	0	HalfToEven	na	-1	na	0	0	-1	0
cbrt	D616	154	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D616	308	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D616	462	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D616	615	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D924	0	HalfToEven	na	-1	na	0	0	-1	0
cbrt	D924	231	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D924	462	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D924	693	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D924	923	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D1232	0	HalfToEven	na	-1	na	0	0	-1	0
cbrt	D1232	308	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D1232	616	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D1232	924	HalfToEven	na	-1	na	0	0	-1	19
cbrt	D1232	1231	HalfToEven	na	-1	na	0	0	-1	19
exp	D18	0	HalfToEven	executed	1	1.000000	54	52	1	0
exp	D18	4	HalfToEven	executed	15	23495.000000	184	149	5	4
exp	D18	9	HalfToEven	executed	32	2.345e9	186	147	10	9
exp	D18	13	HalfToEven	executed	45	2.347e13	186	140	14	13
exp	D18	17	HalfToEven	executed	58	2.347e17	117	1	18	17
exp	D38	0	HalfToEven	executed	1	1.000000	57	55	1	0
exp	D38	9	HalfToEven	executed	32	2.348e9	160	126	10	9
exp	D38	19	HalfToEven	executed	65	2.347e19	166	2	20	19
exp	D38	28	HalfToEven	executed	65	2.348e19	166	3	20	19
exp	D38	37	HalfToEven	executed	65	2.350e19	96	1	20	19
exp	D57	0	HalfToEven	executed	1	1.000000	42	40	1	0
exp	D57	14	HalfToEven	executed	48	2.341e14	133	98	15	14
exp	D57	28	HalfToEven	executed	65	2.347e19	141	13	20	19
exp	D57	42	HalfToEven	executed	65	2.347e19	146	30	20	19
exp	D57	56	HalfToEven	executed	65	2.341e19	91	1	20	19
exp	D76	0	HalfToEven	executed	1	1.000000	45	44	1	0
exp	D76	19	HalfToEven	executed	65	2.348e19	109	24	20	19
exp	D76	38	HalfToEven	executed	65	2.350e19	112	26	20	19
exp	D76	57	HalfToEven	executed	65	2.348e19	126	27	20	19
exp	D76	75	HalfToEven	executed	65	2.344e19	76	1	20	19
exp	D115	0	HalfToEven	executed	1	1.000000	39	38	1	0
exp	D115	28	HalfToEven	executed	65	2.330e19	86	20	20	19
exp	D115	57	HalfToEven	executed	65	2.343e19	91	27	20	19
exp	D115	86	HalfToEven	executed	65	2.348e19	93	21	20	19
exp	D115	114	HalfToEven	executed	65	2.337e19	52	1	20	19
exp	D153	0	HalfToEven	executed	1	1.000000	36	35	1	0
exp	D153	38	HalfToEven	executed	65	2.344e19	77	22	20	19
exp	D153	76	HalfToEven	executed	65	2.348e19	75	22	20	19
exp	D153	114	HalfToEven	executed	65	2.340e19	88	23	20	19
exp	D153	152	HalfToEven	executed	65	2.348e19	49	1	20	19
exp	D230	0	HalfToEven	executed	1	1.000000	35	34	1	0
exp	D230	57	HalfToEven	executed	65	2.340e19	68	26	20	19
exp	D230	115	HalfToEven	executed	65	2.350e19	71	18	20	19
exp	D230	172	HalfToEven	executed	65	2.346e19	70	23	20	19
exp	D230	229	HalfToEven	executed	65	2.350e19	48	1	20	19
exp	D307	0	HalfToEven	executed	1	1.000000	35	33	1	0
exp	D307	76	HalfToEven	executed	65	2.348e19	70	23	20	19
exp	D307	153	HalfToEven	executed	65	2.347e19	68	23	20	19
exp	D307	230	HalfToEven	executed	65	2.347e19	71	22	20	19
exp	D307	306	HalfToEven	executed	65	2.348e19	43	1	20	19
exp	D462	0	HalfToEven	executed	1	1.000000	31	30	1	0
exp	D462	115	HalfToEven	executed	65	2.340e19	67	27	20	19
exp	D462	231	HalfToEven	executed	65	2.350e19	63	16	20	19
exp	D462	346	HalfToEven	executed	65	2.346e19	69	19	20	19
exp	D462	461	HalfToEven	executed	65	2.339e19	45	1	20	19
exp	D616	0	HalfToEven	executed	1	1.000000	28	27	1	0
exp	D616	154	HalfToEven	executed	65	2.350e19	66	21	20	19
