# library: fastnum
# key: method	width	scale	rounding	result
# result columns: kind(executed|na)	max_lsbe	max_ulp	scored	correctly_rounded	max_digits	reach_scale
# max_digits = exact decimal-digit length of the worst error magnitude (what the fidelity grade scores); max_lsbe is its bit-width.
# reach_scale = the depth (fractional digits) this library was actually graded at — its own last representable digit; equals `scale` for arbitrary-precision peers and decimal-scaled, equals the library's cap for a fixed-precision peer running on a deeper cell. The lsbe/ulp/digits in this row measure correctness at THAT depth (grade-at-own-last-digit), and the gap `scale - reach_scale` is the shallower-reach metric.
# source: benches/lib_cmp_precision.rs (regenerate with `cargo bench --bench lib_cmp_precision --features wide,x-wide,xx-wide,macros`)
method	width	scale	rounding	kind	max_lsbe	max_ulp	scored	correctly_rounded	max_digits	reach_scale
cbrt	D76	38	HalfAwayFromZero	executed	0	0	1	1	0	34
cbrt	D76	57	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D76	75	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D115	0	HalfAwayFromZero	executed	0	0	27	27	0	0
cbrt	D115	28	HalfAwayFromZero	executed	0	0	26	26	0	28
cbrt	D115	57	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D115	86	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D115	114	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D153	0	HalfAwayFromZero	executed	0	0	24	24	0	0
cbrt	D153	38	HalfAwayFromZero	executed	0	0	1	1	0	34
cbrt	D153	76	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D153	114	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D153	152	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D230	0	HalfAwayFromZero	executed	0	0	28	28	0	0
cbrt	D230	57	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D230	115	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D230	172	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D230	229	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D307	0	HalfAwayFromZero	executed	0	0	19	19	0	0
cbrt	D307	76	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D307	153	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D307	230	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D307	306	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D462	0	HalfAwayFromZero	executed	0	0	39	39	0	0
cbrt	D462	115	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D462	231	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D462	346	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D462	461	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D616	0	HalfAwayFromZero	executed	0	0	42	42	0	0
cbrt	D616	154	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D616	308	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D616	462	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D616	615	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D924	0	HalfAwayFromZero	executed	0	0	40	40	0	0
cbrt	D924	231	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D924	462	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D924	693	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D924	923	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D1232	0	HalfAwayFromZero	executed	0	0	38	38	0	0
cbrt	D1232	308	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D1232	616	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D1232	924	HalfAwayFromZero	na	-1	na	0	0	-1	34
cbrt	D1232	1231	HalfAwayFromZero	na	-1	na	0	0	-1	34
exp	D18	0	HalfAwayFromZero	executed	0	0	24	24	0	0
exp	D18	4	HalfAwayFromZero	executed	0	0	56	56	0	4
exp	D18	9	HalfAwayFromZero	executed	0	0	64	64	0	9
exp	D18	13	HalfAwayFromZero	executed	0	0	64	64	0	13
exp	D18	17	HalfAwayFromZero	executed	0	0	35	35	0	17
exp	D38	0	HalfAwayFromZero	executed	1	1.000000	21	20	1	0
exp	D38	9	HalfAwayFromZero	executed	0	0	48	48	0	9
exp	D38	19	HalfAwayFromZero	executed	0	0	51	51	0	19
exp	D38	28	HalfAwayFromZero	executed	0	0	54	54	0	28
exp	D38	37	HalfAwayFromZero	executed	0	0	32	32	0	34
exp	D57	0	HalfAwayFromZero	executed	37	7.408e10	17	13	11	0
exp	D57	14	HalfAwayFromZero	executed	59	4.726e17	44	41	18	14
exp	D57	28	HalfAwayFromZero	executed	57	8.417e16	43	35	17	28
exp	D57	42	HalfAwayFromZero	executed	0	0	5	5	0	34
exp	D57	56	HalfAwayFromZero	executed	0	0	1	1	0	34
exp	D76	0	HalfAwayFromZero	executed	1	1.000000	18	17	1	0
exp	D76	19	HalfAwayFromZero	executed	76	4.281e22	36	32	23	19
exp	D76	38	HalfAwayFromZero	executed	0	0	21	21	0	34
exp	D76	57	HalfAwayFromZero	executed	0	0	3	3	0	34
exp	D76	75	HalfAwayFromZero	executed	0	0	1	1	0	34
exp	D115	0	HalfAwayFromZero	executed	37	7.408e10	11	8	11	0
exp	D115	28	HalfAwayFromZero	executed	106	5.083e31	24	22	32	28
exp	D115	57	HalfAwayFromZero	executed	0	0	3	3	0	34
exp	D115	86	HalfAwayFromZero	executed	0	0	3	3	0	34
exp	D115	114	HalfAwayFromZero	executed	0	0	1	1	0	34
exp	D153	0	HalfAwayFromZero	executed	13	6899.000000	15	11	4	0
exp	D153	38	HalfAwayFromZero	executed	0	0	16	16	0	34
exp	D153	76	HalfAwayFromZero	executed	0	0	3	3	0	34
exp	D153	114	HalfAwayFromZero	executed	0	0	3	3	0	34
exp	D153	152	HalfAwayFromZero	executed	0	0	1	1	0	34
exp	D230	0	HalfAwayFromZero	executed	0	0	16	16	0	0
exp	D230	57	HalfAwayFromZero	executed	0	0	3	3	0	34
exp	D230	115	HalfAwayFromZero	executed	0	0	3	3	0	34
exp	D230	172	HalfAwayFromZero	executed	0	0	3	3	0	34
exp	D230	229	HalfAwayFromZero	executed	0	0	1	1	0	34
exp	D307	0	HalfAwayFromZero	executed	0	0	7	7	0	0
exp	D307	76	HalfAwayFromZero	executed	0	0	3	3	0	34
exp	D307	153	HalfAwayFromZero	executed	0	0	3	3	0	34
exp	D307	230	HalfAwayFromZero	executed	0	0	3	3	0	34
exp	D307	306	HalfAwayFromZero	executed	0	0	1	1	0	34
exp	D462	0	HalfAwayFromZero	executed	5	29.000000	18	17	2	0
exp	D462	115	HalfAwayFromZero	executed	0	0	3	3	0	34
exp	D462	231	HalfAwayFromZero	executed	0	0	3	3	0	34
exp	D462	346	HalfAwayFromZero	executed	0	0	3	3	0	34
exp	D462	461	HalfAwayFromZero	executed	0	0	1	1	0	34
exp	D616	0	HalfAwayFromZero	executed	7	126.000000	13	12	3	0
exp	D616	154	HalfAwayFromZero	executed	0	0	3	3	0	34
exp	D616	308	HalfAwayFromZero	executed	0	0	3	3	0	34
exp	D616	462	HalfAwayFromZero	executed	0	0	3	3	0	34
exp	D616	615	HalfAwayFromZero	executed	0	0	1	1	0	34
exp	D924	0	HalfAwayFromZero	executed	14	11119.000000	15	14	5	0
exp	D924	231	HalfAwayFromZero	executed	0	0	3	3	0	34
exp	D924	462	HalfAwayFromZero	executed	0	0	3	3	0	34
exp	D924	693	HalfAwayFromZero	executed	0	0	3	3	0	34
exp	D924	923	HalfAwayFromZero	executed	0	0	1	1	0	34
exp	D1232	0	HalfAwayFromZero	executed	0	0	15	15	0	0
exp	D1232	308	HalfAwayFromZero	executed	0	0	3	3	0	34
exp	D1232	616	HalfAwayFromZero	executed	0	0	3	3	0	34
exp	D1232	924	HalfAwayFromZero	executed	0	0	3	3	0	34
exp	D1232	1231	HalfAwayFromZero	executed	0	0	1	1	0	34
ln	D18	0	HalfAwayFromZero	executed	0	0	42	42	0	0
ln	D18	4	HalfAwayFromZero	executed	0	0	65	65	0	4
ln	D18	9	HalfAwayFromZero	executed	0	0	63	63	0	9
ln	D18	13	HalfAwayFromZero	executed	0	0	63	63	0	13
ln	D18	17	HalfAwayFromZero	executed	0	0	38	38	0	17
ln	D38	0	HalfAwayFromZero	executed	0	0	37	37	0	0
ln	D38	9	HalfAwayFromZero	executed	0	0	55	55	0	9
ln	D38	19	HalfAwayFromZero	executed	0	0	55	55	0	19
ln	D38	28	HalfAwayFromZero	executed	0	0	55	55	0	28
ln	D38	37	HalfAwayFromZero	executed	0	0	31	31	0	34
ln	D57	0	HalfAwayFromZero	executed	0	0	33	33	0	0
ln	D57	14	HalfAwayFromZero	executed	0	0	50	50	0	14
ln	D57	28	HalfAwayFromZero	executed	0	0	50	50	0	28
ln	D57	42	HalfAwayFromZero	executed	0	0	1	1	0	34
ln	D57	56	HalfAwayFromZero	na	-1	na	0	0	-1	34
ln	D76	0	HalfAwayFromZero	executed	0	0	28	28	0	0
ln	D76	19	HalfAwayFromZero	executed	0	0	42	42	0	19
ln	D76	38	HalfAwayFromZero	executed	1	1.000000	17	15	1	34
ln	D76	57	HalfAwayFromZero	executed	0	0	1	1	0	34
ln	D76	75	HalfAwayFromZero	na	-1	na	0	0	-1	34
ln	D115	0	HalfAwayFromZero	executed	0	0	25	25	0	0
ln	D115	28	HalfAwayFromZero	executed	0	0	35	35	0	28
ln	D115	57	HalfAwayFromZero	executed	0	0	1	1	0	34
