# library: decimal-rs
# key: method	width	scale	rounding	result
# result columns: kind(executed|na)	max_lsbe	max_ulp	scored	correctly_rounded	max_digits	reach_scale
# max_digits = exact decimal-digit length of the worst error magnitude (what the fidelity grade scores); max_lsbe is its bit-width.
# reach_scale = the depth (fractional digits) this library was actually graded at — its own last representable digit; equals `scale` for arbitrary-precision peers and decimal-scaled, equals the library's cap for a fixed-precision peer running on a deeper cell. The lsbe/ulp/digits in this row measure correctness at THAT depth (grade-at-own-last-digit), and the gap `scale - reach_scale` is the shallower-reach metric.
# source: benches/lib_cmp_precision.rs (regenerate with `cargo bench --bench lib_cmp_precision --features wide,x-wide,xx-wide,macros`)
method	width	scale	rounding	kind	max_lsbe	max_ulp	scored	correctly_rounded	max_digits	reach_scale
cbrt	D115	0	HalfToEven	na	-1	na	0	0	-1	0
cbrt	D115	28	HalfToEven	na	-1	na	0	0	-1	28
cbrt	D115	57	HalfToEven	na	-1	na	0	0	-1	38
cbrt	D115	86	HalfToEven	na	-1	na	0	0	-1	38
cbrt	D115	114	HalfToEven	na	-1	na	0	0	-1	38
cbrt	D153	0	HalfToEven	na	-1	na	0	0	-1	0
cbrt	D153	38	HalfToEven	na	-1	na	0	0	-1	38
cbrt	D153	76	HalfToEven	na	-1	na	0	0	-1	38
cbrt	D153	114	HalfToEven	na	-1	na	0	0	-1	38
cbrt	D153	152	HalfToEven	na	-1	na	0	0	-1	38
cbrt	D230	0	HalfToEven	na	-1	na	0	0	-1	0
cbrt	D230	57	HalfToEven	na	-1	na	0	0	-1	38
cbrt	D230	115	HalfToEven	na	-1	na	0	0	-1	38
cbrt	D230	172	HalfToEven	na	-1	na	0	0	-1	38
cbrt	D230	229	HalfToEven	na	-1	na	0	0	-1	38
cbrt	D307	0	HalfToEven	na	-1	na	0	0	-1	0
cbrt	D307	76	HalfToEven	na	-1	na	0	0	-1	38
cbrt	D307	153	HalfToEven	na	-1	na	0	0	-1	38
cbrt	D307	230	HalfToEven	na	-1	na	0	0	-1	38
cbrt	D307	306	HalfToEven	na	-1	na	0	0	-1	38
cbrt	D462	0	HalfToEven	na	-1	na	0	0	-1	0
cbrt	D462	115	HalfToEven	na	-1	na	0	0	-1	38
cbrt	D462	231	HalfToEven	na	-1	na	0	0	-1	38
cbrt	D462	346	HalfToEven	na	-1	na	0	0	-1	38
cbrt	D462	461	HalfToEven	na	-1	na	0	0	-1	38
cbrt	D616	0	HalfToEven	na	-1	na	0	0	-1	0
cbrt	D616	154	HalfToEven	na	-1	na	0	0	-1	38
cbrt	D616	308	HalfToEven	na	-1	na	0	0	-1	38
cbrt	D616	462	HalfToEven	na	-1	na	0	0	-1	38
cbrt	D616	615	HalfToEven	na	-1	na	0	0	-1	38
cbrt	D924	0	HalfToEven	na	-1	na	0	0	-1	0
cbrt	D924	231	HalfToEven	na	-1	na	0	0	-1	38
cbrt	D924	462	HalfToEven	na	-1	na	0	0	-1	38
cbrt	D924	693	HalfToEven	na	-1	na	0	0	-1	38
cbrt	D924	923	HalfToEven	na	-1	na	0	0	-1	38
cbrt	D1232	0	HalfToEven	na	-1	na	0	0	-1	0
cbrt	D1232	308	HalfToEven	na	-1	na	0	0	-1	38
cbrt	D1232	616	HalfToEven	na	-1	na	0	0	-1	38
cbrt	D1232	924	HalfToEven	na	-1	na	0	0	-1	38
cbrt	D1232	1231	HalfToEven	na	-1	na	0	0	-1	38
exp	D18	0	HalfToEven	executed	1	1.000000	54	52	1	0
exp	D18	4	HalfToEven	executed	1	1.000000	184	172	1	4
exp	D18	9	HalfToEven	executed	1	1.000000	186	168	1	9
exp	D18	13	HalfToEven	executed	1	1.000000	186	167	1	13
exp	D18	17	HalfToEven	executed	1	1.000000	117	107	1	17
exp	D38	0	HalfToEven	executed	1	1.000000	69	66	1	0
exp	D38	9	HalfToEven	executed	2	2.000000	166	151	1	9
exp	D38	19	HalfToEven	executed	1	1.000000	166	147	1	19
exp	D38	28	HalfToEven	executed	1	1.000000	166	150	1	28
exp	D38	37	HalfToEven	executed	1	1.000000	96	83	1	37
exp	D57	0	HalfToEven	executed	64	1.772e19	65	50	20	0
exp	D57	14	HalfToEven	executed	64	1.553e19	146	117	20	14
exp	D57	28	HalfToEven	executed	66	4.508e19	146	111	20	28
exp	D57	42	HalfToEven	executed	53	5.400e15	146	53	16	38
exp	D57	56	HalfToEven	executed	2	3.000000	91	29	1	38
exp	D76	0	HalfToEven	executed	125	2.647e37	64	51	38	0
exp	D76	19	HalfToEven	executed	130	4.617e38	126	97	39	19
exp	D76	38	HalfToEven	executed	130	3.792e38	126	30	39	38
exp	D76	57	HalfToEven	executed	64	1.000e19	126	39	20	38
exp	D76	75	HalfToEven	executed	3	5.000000	76	25	1	38
exp	D115	0	HalfToEven	executed	260	1.188e77	55	43	78	0
