function	width	version	nanos	min	max
add	38	decimal-scaled@0.4.4	28	26	43
add	38	decimal-scaled@0.5.0	30	28	79
add	462	decimal-scaled	110	80	431
add	462	decimal-scaled@0.4.4	91	80	200
add	462	decimal-scaled@0.5.0	110	90	200
add	57	decimal-scaled	46	40	60
add	57	decimal-scaled@0.4.4	40	40	51
add	57	decimal-scaled@0.5.0	40	40	51
add	616	decimal-scaled	108	80	387
add	616	decimal-scaled@0.4.4	151	87	311
add	616	decimal-scaled@0.5.0	114	89	247
add	76	decimal-scaled	40	30	50
add	76	decimal-scaled@0.3.3	40	30	70
add	76	decimal-scaled@0.4.4	40	30	41
add	76	decimal-scaled@0.5.0	40	30	71
add	924	decimal-scaled	175	125	417
add	924	decimal-scaled@0.4.4	216	163	381
add	924	decimal-scaled@0.5.0	183	146	459
asin	115	decimal-scaled	20581	7501	6037529
asin	115	decimal-scaled@0.4.4	61450	41020	9078197
asin	115	decimal-scaled@0.5.0	20381	13730	5226824
asin	1232	decimal-scaled	20342	8505	9046654
asin	1232	decimal-scaled@0.4.4	278844	205543	10329279
asin	1232	decimal-scaled@0.5.0	24580	19356	6567887
asin	153	decimal-scaled	11357	4306	6025367
asin	153	decimal-scaled@0.3.3	71809	59029	6094651
asin	153	decimal-scaled@0.4.4	38378	28433	9059703
asin	153	decimal-scaled@0.5.0	13481	9595	6028392
asin	18	decimal-scaled	3194	80	4145
asin	18	decimal-scaled@0.4.4	14854	11987	21949
asin	18	decimal-scaled@0.5.0	5642	4842	6428
asin	230	decimal-scaled	15408	5959	6198280
asin	230	decimal-scaled@0.3.3	163896	126369	6186574
asin	230	decimal-scaled@0.4.4	72052	51316	12082999
asin	230	decimal-scaled@0.5.0	19179	12739	9034336
asin	307	decimal-scaled	20684	7995	6049473
asin	307	decimal-scaled@0.3.3	251890	153887	11994733
asin	307	decimal-scaled@0.4.4	117439	84318	9124934
asin	307	decimal-scaled@0.5.0	24676	19787	9046429
asin	38	decimal-scaled	4836	1627	48754
asin	38	decimal-scaled@0.3.3	138792	37471	185809
asin	38	decimal-scaled@0.4.4	18400	13692	40052
asin	38	decimal-scaled@0.5.0	8743	7205	30269
asin	462	decimal-scaled	20458	8115	6047596
asin	462	decimal-scaled@0.4.4	112455	77023	8553556
asin	462	decimal-scaled@0.5.0	24476	14787	8043999
asin	57	decimal-scaled	12108	4658	46207
asin	57	decimal-scaled@0.4.4	34694	26801	52588
asin	57	decimal-scaled@0.5.0	15018	12563	47058
asin	616	decimal-scaled	15464	6088	6026107
asin	616	decimal-scaled@0.4.4	109061	79916	9112340
asin	616	decimal-scaled@0.5.0	18979	11107	6028594
asin	76	decimal-scaled	10806	3876	40622
asin	76	decimal-scaled@0.3.3	49084	40831	69264
asin	76	decimal-scaled@0.4.4	25188	19179	39880
asin	76	decimal-scaled@0.5.0	12900	10976	41793
asin	924	decimal-scaled	18022	6544	6028387
asin	924	decimal-scaled@0.4.4	176562	125290	11228410
asin	924	decimal-scaled@0.5.0	22644	15228	9033868
asinh	115	decimal-scaled	22368	180	6042617
asinh	115	decimal-scaled@0.4.4	56653	18407	9082334
asinh	115	decimal-scaled@0.5.0	21817	120	6045702
asinh	1232	decimal-scaled	24977	1372	6857736
asinh	1232	decimal-scaled@0.4.4	240228	83395	8331408
asinh	1232	decimal-scaled@0.5.0	24757	921	8012919
asinh	153	decimal-scaled	11418	100	6018918
