function	width	scale	mode	passed	failed	na
acos	153	152	ZeroFiveUp	4015	0	0
acos	153	38	AwayFromZero	4012	0	3
acos	153	38	Ceiling	4012	0	3
acos	153	38	Floor	4012	0	3
acos	153	38	HalfAwayFromZero	4012	0	3
acos	153	38	HalfToEven	4012	0	3
acos	153	38	HalfTowardZero	4012	0	3
acos	153	38	Trunc	4012	0	3
acos	153	38	ZeroFiveUp	4012	0	3
acos	153	76	AwayFromZero	4013	0	2
acos	153	76	Ceiling	4013	0	2
acos	153	76	Floor	4013	0	2
acos	153	76	HalfAwayFromZero	4013	0	2
acos	153	76	HalfToEven	4013	0	2
acos	153	76	HalfTowardZero	4013	0	2
acos	153	76	Trunc	4013	0	2
acos	153	76	ZeroFiveUp	4013	0	2
acos	18	0	AwayFromZero	3	0	4012
acos	18	0	Ceiling	3	0	4012
acos	18	0	Floor	3	0	4012
acos	18	0	HalfAwayFromZero	3	0	4012
acos	18	0	HalfToEven	3	0	4012
acos	18	0	HalfTowardZero	3	0	4012
acos	18	0	Trunc	3	0	4012
acos	18	0	ZeroFiveUp	3	0	4012
acos	18	13	AwayFromZero	728	0	3287
acos	18	13	Ceiling	728	0	3287
acos	18	13	Floor	728	0	3287
acos	18	13	HalfAwayFromZero	728	0	3287
acos	18	13	HalfToEven	728	0	3287
acos	18	13	HalfTowardZero	728	0	3287
acos	18	13	Trunc	728	0	3287
acos	18	13	ZeroFiveUp	728	0	3287
acos	18	17	AwayFromZero	932	0	3083
acos	18	17	Ceiling	932	0	3083
acos	18	17	Floor	932	0	3083
acos	18	17	HalfAwayFromZero	932	0	3083
acos	18	17	HalfToEven	932	0	3083
acos	18	17	HalfTowardZero	932	0	3083
acos	18	17	Trunc	932	0	3083
acos	18	17	ZeroFiveUp	932	0	3083
acos	18	3	AwayFromZero	22	0	3993
acos	18	3	Ceiling	22	0	3993
acos	18	3	Floor	22	0	3993
acos	18	3	HalfAwayFromZero	22	0	3993
acos	18	3	HalfToEven	22	0	3993
acos	18	3	HalfTowardZero	22	0	3993
acos	18	3	Trunc	22	0	3993
acos	18	3	ZeroFiveUp	22	0	3993
acos	18	4	AwayFromZero	187	0	3828
acos	18	4	Ceiling	187	0	3828
acos	18	4	Floor	187	0	3828
